Customer_ID,Customer_Name,Customer_Type,Customer_Segment,Industry,Sales_Region,Region_ID,Country,State,City,Parent_Customer,Account_Manager
C00001,Customer 1,Retail,Enterprise,Restaurants,Midwest,R01,USA,MO,Kansas City,,Sales Rep 1
C00002,Customer 2,Distributor,Mid-Market,Retail,Midwest,R01,USA,IL,Chicago,,Sales Rep 2
C00003,Customer 3,Food Service,SMB,Hospitality,Northeast,R02,USA,NY,New York,,Sales Rep 3
C00004,Customer 4,Wholesale,Enterprise,Distribution,Northeast,R02,USA,MA,Boston,,Sales Rep 4
C00005,Customer 5,Retail,Mid-Market,Restaurants,South,R03,USA,TX,Dallas,Parent 1,Sales Rep 5
C00006,Customer 6,Distributor,SMB,Retail,South,R03,USA,GA,Atlanta,,Sales Rep 6
C00007,Customer 7,Food Service,Enterprise,Hospitality,West,R04,USA,CA,Los Angeles,,Sales Rep 7
C00008,Customer 8,Wholesale,Mid-Market,Distribution,West,R04,USA,WA,Seattle,,Sales Rep 8
C00009,Customer 9,Retail,SMB,Restaurants,Midwest,R01,USA,MO,Kansas City,,Sales Rep 9
C00010,Customer 10,Distributor,Enterprise,Retail,Midwest,R01,USA,IL,Chicago,Parent 1,Sales Rep 10
C00011,Customer 11,Food Service,Mid-Market,Hospitality,Northeast,R02,USA,NY,New York,,Sales Rep 11
C00012,Customer 12,Wholesale,SMB,Distribution,Northeast,R02,USA,MA,Boston,,Sales Rep 12
C00013,Customer 13,Retail,Enterprise,Restaurants,South,R03,USA,TX,Dallas,,Sales Rep 13
C00014,Customer 14,Distributor,Mid-Market,Retail,South,R03,USA,GA,Atlanta,,Sales Rep 14
C00015,Customer 15,Food Service,SMB,Hospitality,West,R04,USA,CA,Los Angeles,Parent 2,Sales Rep 15
C00016,Customer 16,Wholesale,Enterprise,Distribution,West,R04,USA,WA,Seattle,,Sales Rep 16
C00017,Customer 17,Retail,Mid-Market,Restaurants,Midwest,R01,USA,MO,Kansas City,,Sales Rep 17
C00018,Customer 18,Distributor,SMB,Retail,Midwest,R01,USA,IL,Chicago,,Sales Rep 18
C00019,Customer 19,Food Service,Enterprise,Hospitality,Northeast,R02,USA,NY,New York,,Sales Rep 19
C00020,Customer 20,Wholesale,Mid-Market,Distribution,Northeast,R02,USA,MA,Boston,Parent 2,Sales Rep 20
C00021,Customer 21,Retail,SMB,Restaurants,South,R03,USA,TX,Dallas,,Sales Rep 21
C00022,Customer 22,Distributor,Enterprise,Retail,South,R03,USA,GA,Atlanta,,Sales Rep 22
C00023,Customer 23,Food Service,Mid-Market,Hospitality,West,R04,USA,CA,Los Angeles,,Sales Rep 23
C00024,Customer 24,Wholesale,SMB,Distribution,West,R04,USA,WA,Seattle,,Sales Rep 24
C00025,Customer 25,Retail,Enterprise,Restaurants,Midwest,R01,USA,MO,Kansas City,Parent 3,Sales Rep 25
C00026,Customer 26,Distributor,Mid-Market,Retail,Midwest,R01,USA,IL,Chicago,,Sales Rep 26
C00027,Customer 27,Food Service,SMB,Hospitality,Northeast,R02,USA,NY,New York,,Sales Rep 27
C00028,Customer 28,Wholesale,Enterprise,Distribution,Northeast,R02,USA,MA,Boston,,Sales Rep 28
C00029,Customer 29,Retail,Mid-Market,Restaurants,South,R03,USA,TX,Dallas,,Sales Rep 29
C00030,Customer 30,Distributor,SMB,Retail,South,R03,USA,GA,Atlanta,Parent 3,Sales Rep 30
C00031,Customer 31,Food Service,Enterprise,Hospitality,West,R04,USA,CA,Los Angeles,,Sales Rep 31
C00032,Customer 32,Wholesale,Mid-Market,Distribution,West,R04,USA,WA,Seattle,,Sales Rep 32
