Date_Key,Date,Day,Week,Month,Quarter,Year,Fiscal_Period,Fiscal_Quarter,Fiscal_Year
20250101,2025-01-01,1,1,January,Q1,2025,1,Q1,2025
20250102,2025-01-02,2,1,January,Q1,2025,1,Q1,2025
20250103,2025-01-03,3,1,January,Q1,2025,1,Q1,2025
20250104,2025-01-04,4,1,January,Q1,2025,1,Q1,2025
20250105,2025-01-05,5,1,January,Q1,2025,1,Q1,2025
20250106,2025-01-06,6,2,January,Q1,2025,1,Q1,2025
20250107,2025-01-07,7,2,January,Q1,2025,1,Q1,2025
20250108,2025-01-08,8,2,January,Q1,2025,1,Q1,2025
20250109,2025-01-09,9,2,January,Q1,2025,1,Q1,2025
20250110,2025-01-10,10,2,January,Q1,2025,1,Q1,2025
20250111,2025-01-11,11,2,January,Q1,2025,1,Q1,2025
20250112,2025-01-12,12,2,January,Q1,2025,1,Q1,2025
20250113,2025-01-13,13,3,January,Q1,2025,1,Q1,2025
20250114,2025-01-14,14,3,January,Q1,2025,1,Q1,2025
20250115,2025-01-15,15,3,January,Q1,2025,1,Q1,2025
20250116,2025-01-16,16,3,January,Q1,2025,1,Q1,2025
20250117,2025-01-17,17,3,January,Q1,2025,1,Q1,2025
20250118,2025-01-18,18,3,January,Q1,2025,1,Q1,2025
20250119,2025-01-19,19,3,January,Q1,2025,1,Q1,2025
20250120,2025-01-20,20,4,January,Q1,2025,1,Q1,2025
20250121,2025-01-21,21,4,January,Q1,2025,1,Q1,2025
20250122,2025-01-22,22,4,January,Q1,2025,1,Q1,2025
20250123,2025-01-23,23,4,January,Q1,2025,1,Q1,2025
20250124,2025-01-24,24,4,January,Q1,2025,1,Q1,2025
20250125,2025-01-25,25,4,January,Q1,2025,1,Q1,2025
20250126,2025-01-26,26,4,January,Q1,2025,1,Q1,2025
20250127,2025-01-27,27,5,January,Q1,2025,1,Q1,2025
20250128,2025-01-28,28,5,January,Q1,2025,1,Q1,2025
20250129,2025-01-29,29,5,January,Q1,2025,1,Q1,2025
20250130,2025-01-30,30,5,January,Q1,2025,1,Q1,2025
20250131,2025-01-31,31,5,January,Q1,2025,1,Q1,2025
20250201,2025-02-01,1,5,February,Q1,2025,2,Q1,2025
20250202,2025-02-02,2,5,February,Q1,2025,2,Q1,2025
20250203,2025-02-03,3,6,February,Q1,2025,2,Q1,2025
20250204,2025-02-04,4,6,February,Q1,2025,2,Q1,2025
20250205,2025-02-05,5,6,February,Q1,2025,2,Q1,2025
20250206,2025-02-06,6,6,February,Q1,2025,2,Q1,2025
20250207,2025-02-07,7,6,February,Q1,2025,2,Q1,2025
20250208,2025-02-08,8,6,February,Q1,2025,2,Q1,2025
20250209,2025-02-09,9,6,February,Q1,2025,2,Q1,2025
20250210,2025-02-10,10,7,February,Q1,2025,2,Q1,2025
20250211,2025-02-11,11,7,February,Q1,2025,2,Q1,2025
20250212,2025-02-12,12,7,February,Q1,2025,2,Q1,2025
20250213,2025-02-13,13,7,February,Q1,2025,2,Q1,2025
20250214,2025-02-14,14,7,February,Q1,2025,2,Q1,2025
20250215,2025-02-15,15,7,February,Q1,2025,2,Q1,2025
20250216,2025-02-16,16,7,February,Q1,2025,2,Q1,2025
20250217,2025-02-17,17,8,February,Q1,2025,2,Q1,2025
