Product_ID,Product_Code,Product_Name,Product_Category,Product_Subcategory,Brand,SKU,Product_Line,Launch_Date,Discontinued_Flag
P0001,PRD-0001,Paper Plates Product 1,Paper Plates,Standard,EcoServe,SKU-10001,Line 1,2021-01-10,N
P0002,PRD-0002,Paper Cups Product 2,Paper Cups,Premium,GreenChoice,SKU-10002,Line 2,2021-01-19,N
P0003,PRD-0003,Bowls Product 3,Bowls,Heavy Duty,PurePack,SKU-10003,Line 3,2021-01-28,N
P0004,PRD-0004,Food Containers Product 4,Food Containers,Standard,EarthWare,SKU-10004,Line 4,2021-02-06,N
P0005,PRD-0005,Paper Plates Product 5,Paper Plates,Premium,EcoServe,SKU-10005,Line 5,2021-02-15,N
P0006,PRD-0006,Paper Cups Product 6,Paper Cups,Heavy Duty,GreenChoice,SKU-10006,Line 6,2021-02-24,N
P0007,PRD-0007,Bowls Product 7,Bowls,Standard,PurePack,SKU-10007,Line 1,2021-03-05,N
P0008,PRD-0008,Food Containers Product 8,Food Containers,Premium,EarthWare,SKU-10008,Line 2,2021-03-14,N
P0009,PRD-0009,Paper Plates Product 9,Paper Plates,Heavy Duty,EcoServe,SKU-10009,Line 3,2021-03-23,N
P0010,PRD-0010,Paper Cups Product 10,Paper Cups,Standard,GreenChoice,SKU-10010,Line 4,2021-04-01,N
P0011,PRD-0011,Bowls Product 11,Bowls,Premium,PurePack,SKU-10011,Line 5,2021-04-10,N
P0012,PRD-0012,Food Containers Product 12,Food Containers,Heavy Duty,EarthWare,SKU-10012,Line 6,2021-04-19,N
P0013,PRD-0013,Paper Plates Product 13,Paper Plates,Standard,EcoServe,SKU-10013,Line 1,2021-04-28,N
P0014,PRD-0014,Paper Cups Product 14,Paper Cups,Premium,GreenChoice,SKU-10014,Line 2,2021-05-07,N
P0015,PRD-0015,Bowls Product 15,Bowls,Heavy Duty,PurePack,SKU-10015,Line 3,2021-05-16,N
P0016,PRD-0016,Food Containers Product 16,Food Containers,Standard,EarthWare,SKU-10016,Line 4,2021-05-25,N
P0017,PRD-0017,Paper Plates Product 17,Paper Plates,Premium,EcoServe,SKU-10017,Line 5,2021-06-03,N
P0018,PRD-0018,Paper Cups Product 18,Paper Cups,Heavy Duty,GreenChoice,SKU-10018,Line 6,2021-06-12,N
P0019,PRD-0019,Bowls Product 19,Bowls,Standard,PurePack,SKU-10019,Line 1,2021-06-21,N
P0020,PRD-0020,Food Containers Product 20,Food Containers,Premium,EarthWare,SKU-10020,Line 2,2021-06-30,N
P0021,PRD-0021,Paper Plates Product 21,Paper Plates,Heavy Duty,EcoServe,SKU-10021,Line 3,2021-07-09,N
P0022,PRD-0022,Paper Cups Product 22,Paper Cups,Standard,GreenChoice,SKU-10022,Line 4,2021-07-18,N
P0023,PRD-0023,Bowls Product 23,Bowls,Premium,PurePack,SKU-10023,Line 5,2021-07-27,N
P0024,PRD-0024,Food Containers Product 24,Food Containers,Heavy Duty,EarthWare,SKU-10024,Line 6,2021-08-05,N
P0025,PRD-0025,Paper Plates Product 25,Paper Plates,Standard,EcoServe,SKU-10025,Line 1,2021-08-14,N
P0026,PRD-0026,Paper Cups Product 26,Paper Cups,Premium,GreenChoice,SKU-10026,Line 2,2021-08-23,N
P0027,PRD-0027,Bowls Product 27,Bowls,Heavy Duty,PurePack,SKU-10027,Line 3,2021-09-01,N
P0028,PRD-0028,Food Containers Product 28,Food Containers,Standard,EarthWare,SKU-10028,Line 4,2021-09-10,N
