Profit_Center_ID,Profit_Center_Name,Business_Unit,Division,Manager
PC001,Profit Center 1,BU1,Division 1,Manager 1
PC002,Profit Center 2,BU2,Division 2,Manager 2
PC003,Profit Center 3,BU3,Division 3,Manager 3
PC004,Profit Center 4,BU4,Division 4,Manager 4
PC005,Profit Center 5,BU1,Division 5,Manager 5
PC006,Profit Center 6,BU2,Division 1,Manager 6
PC007,Profit Center 7,BU3,Division 2,Manager 7
PC008,Profit Center 8,BU4,Division 3,Manager 8
PC009,Profit Center 9,BU1,Division 4,Manager 9
PC010,Profit Center 10,BU2,Division 5,Manager 10
