Sales_Rep_ID,Sales_Rep_Name,Sales_Team,Sales_Manager,Region_ID,Region,Business_Unit
SR001,Sales Rep 1,Team 1,Sales Manager 1,R01,Midwest,BU1
SR002,Sales Rep 2,Team 2,Sales Manager 2,R02,Northeast,BU2
SR003,Sales Rep 3,Team 3,Sales Manager 3,R03,South,BU3
SR004,Sales Rep 4,Team 4,Sales Manager 4,R04,West,BU4
SR005,Sales Rep 5,Team 5,Sales Manager 5,R01,Midwest,BU1
SR006,Sales Rep 6,Team 6,Sales Manager 6,R02,Northeast,BU2
SR007,Sales Rep 7,Team 7,Sales Manager 7,R03,South,BU3
SR008,Sales Rep 8,Team 8,Sales Manager 8,R04,West,BU4
SR009,Sales Rep 9,Team 1,Sales Manager 1,R01,Midwest,BU1
SR010,Sales Rep 10,Team 2,Sales Manager 2,R02,Northeast,BU2
SR011,Sales Rep 11,Team 3,Sales Manager 3,R03,South,BU3
SR012,Sales Rep 12,Team 4,Sales Manager 4,R04,West,BU4
SR013,Sales Rep 13,Team 5,Sales Manager 5,R01,Midwest,BU1
SR014,Sales Rep 14,Team 6,Sales Manager 6,R02,Northeast,BU2
SR015,Sales Rep 15,Team 7,Sales Manager 7,R03,South,BU3
SR016,Sales Rep 16,Team 8,Sales Manager 8,R04,West,BU4
SR017,Sales Rep 17,Team 1,Sales Manager 1,R01,Midwest,BU1
SR018,Sales Rep 18,Team 2,Sales Manager 2,R02,Northeast,BU2
SR019,Sales Rep 19,Team 3,Sales Manager 3,R03,South,BU3
SR020,Sales Rep 20,Team 4,Sales Manager 4,R04,West,BU4
SR021,Sales Rep 21,Team 5,Sales Manager 5,R01,Midwest,BU1
SR022,Sales Rep 22,Team 6,Sales Manager 6,R02,Northeast,BU2
SR023,Sales Rep 23,Team 7,Sales Manager 7,R03,South,BU3
SR024,Sales Rep 24,Team 8,Sales Manager 8,R04,West,BU4
SR025,Sales Rep 25,Team 1,Sales Manager 1,R01,Midwest,BU1
SR026,Sales Rep 26,Team 2,Sales Manager 2,R02,Northeast,BU2
SR027,Sales Rep 27,Team 3,Sales Manager 3,R03,South,BU3
SR028,Sales Rep 28,Team 4,Sales Manager 4,R04,West,BU4
SR029,Sales Rep 29,Team 5,Sales Manager 5,R01,Midwest,BU1
SR030,Sales Rep 30,Team 6,Sales Manager 6,R02,Northeast,BU2
SR031,Sales Rep 31,Team 7,Sales Manager 7,R03,South,BU3
SR032,Sales Rep 32,Team 8,Sales Manager 8,R04,West,BU4
SR033,Sales Rep 33,Team 1,Sales Manager 1,R01,Midwest,BU1
SR034,Sales Rep 34,Team 2,Sales Manager 2,R02,Northeast,BU2
SR035,Sales Rep 35,Team 3,Sales Manager 3,R03,South,BU3
SR036,Sales Rep 36,Team 4,Sales Manager 4,R04,West,BU4
SR037,Sales Rep 37,Team 5,Sales Manager 5,R01,Midwest,BU1
SR038,Sales Rep 38,Team 6,Sales Manager 6,R02,Northeast,BU2
SR039,Sales Rep 39,Team 7,Sales Manager 7,R03,South,BU3
SR040,Sales Rep 40,Team 8,Sales Manager 8,R04,West,BU4
