Budget_ID,Fiscal_Year,Fiscal_Period,Cost_Center,Profit_Center,Budget_Revenue,Budget_Cost,Budget_Profit,Forecast_Revenue,Forecast_Cost
BUD0000001,2026,3,CC0015,PC005,460569.03,365073.25,95495.78,436172.47,384907.43
BUD0000002,2026,6,CC0001,PC001,525016.08,392272.2,132743.88,528705.74,401511.45
BUD0000003,2025,12,CC0006,PC006,216726.89,149589.8,67137.09,225921.49,159792.25
BUD0000004,2025,5,CC0019,PC009,434494.7,297341.74,137152.96,431191.88,302768.91
BUD0000005,2025,7,CC0016,PC006,737142.59,557261.81,179880.78,730009.48,545986.49
BUD0000006,2026,5,CC0011,PC001,740525.98,457999.36,282526.62,750789.73,469979.87
BUD0000007,2026,10,CC0020,PC010,238261.21,153665.61,84595.6,245410.39,162752.8
BUD0000008,2026,9,CC0009,PC009,147500.25,86094.34,61405.91,152605.79,89466.87
BUD0000009,2025,12,CC0003,PC003,403587.19,265193.09,138394.1,429707.32,261086.34
BUD0000010,2025,7,CC0015,PC005,303238.55,185750.1,117488.45,328140.6,176541.16
BUD0000011,2025,12,CC0011,PC001,246780.53,175281.86,71498.67,245070.74,183674.89
BUD0000012,2026,10,CC0007,PC007,674455.65,527448.7,147006.95,690306.11,553522.36
BUD0000013,2026,1,CC0018,PC008,526298.4,359264.84,167033.56,512711.76,365949.24
BUD0000014,2025,5,CC0005,PC005,365347.04,266721.42,98625.62,353309.58,259032.54
BUD0000015,2026,12,CC0016,PC006,569522.85,384296.94,185225.91,619832.88,372964.3
BUD0000016,2026,11,CC0010,PC010,737429.06,543904.64,193524.42,776131.76,576639.65
BUD0000017,2026,7,CC0020,PC010,249501.43,202463.22,47038.21,237506.63,198499.47
BUD0000018,2026,5,CC0005,PC005,170085.4,137652.82,32432.58,171761.74,131042.71
BUD0000019,2025,12,CC0005,PC005,482908.09,333174.03,149734.06,504020.82,343044.2
BUD0000020,2025,5,CC0019,PC009,222758.57,139875.02,82883.55,209574.12,149705.85
BUD0000021,2026,12,CC0009,PC009,584626.1,373457.28,211168.82,580354.9,379950.22
BUD0000022,2025,9,CC0010,PC010,438405.44,274645.78,163759.66,412540.4,272587.3
BUD0000023,2026,12,CC0002,PC002,672402.07,509264.68,163137.39,730392.31,502148.48
BUD0000024,2025,3,CC0012,PC002,722308.84,407145.4,315163.44,694568.07,420634.3
BUD0000025,2026,3,CC0012,PC002,158924.37,101882.31,57042.06,165924.08,102346.78
BUD0000026,2026,10,CC0008,PC008,393261.48,250640.66,142620.82,413293.34,244591.65
BUD0000027,2025,9,CC0011,PC001,684025.29,465865.75,218159.54,651767.15,472548.54
BUD0000028,2026,9,CC0020,PC010,508864.04,288068.28,220795.76,489666.48,308180.82
BUD0000029,2025,7,CC0005,PC005,335884.13,254047.58,81836.55,342046.69,258168.44
BUD0000030,2025,5,CC0010,PC010,347963.49,279129.47,68834.02,365315.08,275555.41
BUD0000031,2025,1,CC0014,PC004,98766.12,79150.05,19616.07,101428.72,78983.53
BUD0000032,2025,1,CC0014,PC004,383904.13,212750.96,171153.17,385683.12,217823.24
BUD0000033,2026,8,CC0013,PC003,709466.45,514539.28,194927.17,685182.49,527471.31
BUD0000034,2025,4,CC0004,PC004,231378.44,184573.69,46804.75,220642.86,192014.2
BUD0000035,2026,4,CC0018,PC008,429792.91,253295.39,176497.52,472589.37,257576.15
BUD0000036,2026,2,CC0004,PC004,679186.82,468362.37,210824.45,743677.15,467052.52
BUD0000037,2025,8,CC0018,PC008,354764.49,267020.88,87743.61,376981.99,259340.34
BUD0000038,2026,4,CC0008,PC008,115768.57,68553.91,47214.66,127150.57,71563.75
BUD0000039,2025,2,CC0008,PC008,55558.79,37246.99,18311.8,52937.95,36537.37
BUD0000040,2025,2,CC0003,PC003,222096.44,137341.6,84754.84,242747.33,133042.4
BUD0000041,2026,7,CC0009,PC009,585041.1,351006.85,234034.25,609057.27,356411.32
BUD0000042,2026,6,CC0005,PC005,164329.93,96359.23,67970.7,175721.28,103372.01
BUD0000043,2025,11,CC0014,PC004,500762.34,282807.55,217954.79,545263.68,280970.22
BUD0000044,2026,6,CC0012,PC002,544429.32,392631.01,151798.31,566756.82,407622.03
BUD0000045,2026,10,CC0017,PC007,610388.69,373402.09,236986.6,604969.21,375346.12
BUD0000046,2025,2,CC0017,PC007,353925.5,244033.63,109891.87,378128.95,234943.42
BUD0000047,2026,12,CC0010,PC010,277176.97,194305.84,82871.13,260722.72,194931.98
