Transaction_ID,Product_ID,Plant_ID,Material_ID,Standard_Cost,Actual_Cost,Material_Cost,Labor_Cost,Overhead_Cost,Freight_Cost,Manufacturing_Cost,Production_Date,Cost_Per_Unit
T0000001,P0007,PL01,M00001,192.54,199.69,112.19,38.74,37.09,11.67,188.02,2026-10-17,0.3908
T0000002,P0130,PL02,M00002,45.52,46.61,26.76,7.52,9.57,2.76,43.85,2025-08-12,0.7283
T0000003,P0109,PL03,M00003,218.51,221.1,135.69,41.03,25.06,19.32,201.78,2025-06-13,0.3819
T0000004,P0118,PL04,M00004,471.9,457.78,241.28,102.6,79.44,34.46,423.32,2025-02-14,1.7275
T0000005,P0012,PL05,M00005,1054.48,1020.48,586.54,214.09,123.91,95.94,924.54,2026-12-23,1.6951
T0000006,P0069,PL06,M00006,320.16,325.55,179.0,66.76,54.22,25.57,299.98,2025-12-30,0.9043
T0000007,P0015,PL07,M00007,115.64,110.69,59.96,23.53,19.3,7.9,102.79,2025-11-29,1.4759
T0000008,P0118,PL08,M00008,177.59,185.32,102.33,34.86,33.55,14.58,170.74,2026-05-27,0.3357
T0000009,P0127,PL01,M00009,132.57,139.21,86.52,28.35,16.12,8.22,130.99,2025-05-22,1.3133
T0000010,P0065,PL02,M00010,29.48,29.81,17.77,5.29,3.81,2.94,26.87,2026-04-25,0.9033
T0000011,P0001,PL03,M00011,1145.34,1140.08,704.31,206.56,161.99,67.22,1072.86,2025-06-11,1.1015
T0000012,P0042,PL04,M00012,1880.34,1844.06,1076.47,420.85,255.77,90.97,1753.09,2026-01-18,1.6825
T0000013,P0062,PL05,M00013,32.17,32.41,17.42,7.2,6.1,1.69,30.72,2025-09-03,0.1895
T0000014,P0068,PL06,M00014,1250.33,1220.25,778.93,214.77,166.89,59.66,1160.59,2026-07-17,1.393
T0000015,P0133,PL07,M00015,91.26,93.5,56.15,21.85,12.36,3.14,90.36,2026-01-18,0.3638
T0000016,P0018,PL08,M00016,183.09,175.22,107.45,27.37,26.05,14.35,160.87,2025-03-02,0.2554
T0000017,P0122,PL01,M00017,65.18,66.54,39.23,10.72,12.64,3.95,62.59,2026-04-30,0.1668
T0000018,P0016,PL02,M00018,809.76,802.95,488.38,150.98,134.91,28.68,774.27,2026-10-24,1.1406
T0000019,P0141,PL03,M00019,90.07,94.62,51.8,14.75,20.41,7.66,86.96,2025-03-19,0.8373
T0000020,P0103,PL04,M00020,213.04,211.27,133.88,35.06,25.46,16.87,194.4,2026-05-08,0.6088
T0000021,P0125,PL05,M00021,153.56,157.43,82.25,34.18,32.93,8.07,149.36,2026-07-24,0.3956
T0000022,P0136,PL06,M00022,173.94,173.44,99.35,38.5,29.41,6.18,167.26,2026-05-30,1.3765
T0000023,P0149,PL07,M00023,81.25,82.13,44.54,19.33,12.58,5.68,76.45,2026-08-07,0.9025
T0000024,P0102,PL08,M00024,472.69,456.73,263.28,104.26,62.67,26.52,430.21,2025-09-02,0.7319
T0000025,P0130,PL01,M00025,451.44,454.41,262.66,92.27,73.6,25.88,428.53,2026-07-05,1.6171
T0000026,P0136,PL02,M00026,530.83,531.13,310.45,85.39,101.51,33.78,497.35,2026-09-19,0.4639
T0000027,P0054,PL03,M00027,322.96,335.35,201.41,54.59,49.57,29.78,305.57,2025-10-06,0.7872
T0000028,P0001,PL04,M00028,203.46,210.03,122.05,41.28,37.42,9.28,200.75,2025-10-11,0.7582
T0000029,P0039,PL05,M00029,133.16,128.15,81.27,18.87,19.14,8.87,119.28,2026-12-09,1.544
T0000030,P0092,PL06,M00030,545.76,543.18,315.67,120.45,76.24,30.82,512.36,2025-02-10,1.0426
T0000031,P0042,PL07,M00031,124.98,122.52,65.59,22.58,24.25,10.1,112.42,2025-08-31,0.1435
T0000032,P0028,PL08,M00032,132.83,138.07,81.38,25.61,21.63,9.45,128.62,2025-10-01,1.5513
T0000033,P0050,PL01,M00033,343.99,328.7,194.5,62.92,50.52,20.76,307.94,2025-01-25,0.482
T0000034,P0008,PL02,M00034,223.84,227.53,117.31,47.76,43.89,18.57,208.96,2025-12-06,0.4183
T0000035,P0030,PL03,M00035,467.9,449.35,261.93,78.0,75.55,33.87,415.48,2026-09-13,0.3776
T0000036,P0094,PL04,M00036,296.02,289.73,175.43,56.23,35.68,22.39,267.34,2026-11-18,1.8937
T0000037,P0084,PL05,M00037,489.2,471.18,264.27,117.5,69.36,20.05,451.13,2026-11-14,0.7661
T0000038,P0001,PL06,M00038,257.65,260.56,144.79,46.08,51.49,18.2,242.36,2026-02-20,0.4364
T0000039,P0022,PL07,M00039,1175.02,1159.17,677.63,214.79,211.03,55.72,1103.45,2025-06-23,1.0884
T0000040,P0012,PL08,M00040,1103.34,1080.39,617.18,204.97,183.0,75.24,1005.15,2025-05-31,1.0991
T0000041,P0038,PL01,M00041,344.58,330.7,177.03,69.66,58.94,25.07,305.63,2026-02-14,1.4504
T0000042,P0035,PL02,M00042,2031.06,1959.7,1110.17,395.21,358.28,96.04,1863.66,2025-05-05,1.7864
T0000043,P0041,PL03,M00043,504.31,505.96,303.92,91.74,83.47,26.83,479.13,2026-07-16,0.5435
T0000044,P0074,PL04,M00044,223.16,232.98,139.64,38.9,39.84,14.6,218.38,2025-03-21,0.4116
T0000045,P0085,PL05,M00045,751.72,783.3,477.27,129.83,135.76,40.44,742.86,2026-03-01,0.8126
T0000046,P0123,PL06,M00046,420.27,417.66,244.11,73.33,72.21,28.01,389.65,2026-08-13,0.5721
T0000047,P0057,PL07,M00047,843.86,880.27,461.38,186.3,161.82,70.77,809.5,2025-08-14,0.9759
T0000048,P0007,PL08,M00048,1040.7,1040.41,639.04,227.12,132.05,42.2,998.21,2026-09-30,0.8931
T0000049,P0087,PL01,M00049,798.24,780.35,442.4,143.31,137.74,56.9,723.45,2026-04-11,1.3478
T0000050,P0018,PL02,M00050,122.03,123.19,74.25,22.59,20.02,6.33,116.86,2025-12-25,1.6875
T0000051,P0066,PL03,M00051,294.46,290.42,188.46,52.57,37.72,11.67,278.75,2025-08-12,0.8227
T0000052,P0097,PL04,M00052,111.3,111.51,65.93,22.62,15.13,7.83,103.68,2025-11-16,0.2681
T0000053,P0145,PL05,M00053,614.73,593.69,357.38,106.56,82.67,47.08,546.61,2025-05-04,0.8234
T0000054,P0093,PL06,M00054,272.66,269.84,153.24,54.36,43.43,18.81,251.03,2026-03-20,0.8354
T0000055,P0069,PL07,M00055,754.37,740.13,448.88,152.67,85.26,53.32,686.81,2026-03-23,1.4456
T0000056,P0084,PL08,M00056,368.56,357.28,220.82,57.58,65.63,13.25,344.03,2025-01-30,0.3544
T0000057,P0062,PL01,M00057,675.92,667.68,403.59,117.74,103.55,42.8,624.88,2025-07-15,0.6611
T0000058,P0063,PL02,M00058,632.42,603.35,330.67,159.82,89.1,23.76,579.59,2026-02-19,0.7887
T0000059,P0031,PL03,M00059,182.13,190.48,112.43,34.45,29.25,14.35,176.13,2025-09-15,0.2904
T0000060,P0073,PL04,M00060,176.65,170.26,94.55,28.26,31.93,15.52,154.74,2026-06-22,0.4183
T0000061,P0033,PL05,M00061,229.41,225.93,134.01,53.93,29.02,8.97,216.96,2025-10-27,1.027
T0000062,P0017,PL06,M00062,188.89,197.35,120.38,34.63,35.1,7.24,190.11,2026-05-05,0.1941
T0000063,P0107,PL07,M00063,620.67,611.38,338.37,125.09,101.01,46.91,564.47,2025-05-02,1.2953
T0000064,P0026,PL08,M00064,198.63,208.64,118.94,39.48,40.8,9.42,199.22,2025-03-03,0.472
T0000065,P0009,PL01,M00065,743.76,740.26,409.46,184.43,112.06,34.31,705.95,2026-04-27,1.2338
T0000066,P0051,PL02,M00066,158.03,166.28,96.02,27.3,27.13,15.83,150.45,2026-11-09,0.6787
T0000067,P0074,PL03,M00067,206.97,212.58,129.55,40.54,26.29,16.2,196.38,2026-08-06,0.8052
T0000068,P0083,PL04,M00068,56.61,59.55,33.11,12.64,11.03,2.77,56.78,2026-03-19,0.1141
T0000069,P0011,PL05,M00069,1028.05,1012.88,608.0,173.83,172.66,58.39,954.49,2025-10-03,1.041
T0000070,P0105,PL06,M00070,836.12,862.7,541.66,154.99,107.98,58.07,804.63,2026-04-27,1.2934
T0000071,P0117,PL07,M00071,228.79,219.89,136.19,35.16,28.72,19.82,200.07,2026-07-18,0.3362
T0000072,P0014,PL08,M00072,760.56,739.94,444.05,151.97,95.3,48.62,691.32,2026-04-19,0.6909
T0000073,P0125,PL01,M00073,118.21,117.83,67.27,24.1,20.13,6.33,111.5,2026-03-25,1.7077
T0000074,P0031,PL02,M00074,1452.59,1477.82,774.6,350.94,258.15,94.13,1383.69,2025-04-27,1.4348
T0000075,P0049,PL03,M00075,1079.1,1029.73,614.33,180.65,148.17,86.58,943.15,2025-05-29,0.9807
T0000076,P0001,PL04,M00076,795.62,775.64,489.31,122.81,133.3,30.22,745.42,2025-10-01,1.249
T0000077,P0117,PL05,M00077,560.05,546.33,353.13,83.66,71.99,37.55,508.78,2026-07-11,1.3796
T0000078,P0039,PL06,M00078,21.08,20.19,11.98,3.31,3.84,1.06,19.13,2026-01-26,0.2375
T0000079,P0037,PL07,M00079,56.77,55.98,33.22,11.13,8.24,3.39,52.59,2025-01-16,0.1717
T0000080,P0137,PL08,M00080,567.89,585.92,286.52,135.41,111.86,52.13,533.79,2026-11-22,0.8905
T0000081,P0024,PL01,M00081,198.8,199.0,110.75,43.79,28.14,16.32,182.68,2025-10-22,0.9431
T0000082,P0092,PL02,M00082,205.4,197.97,107.77,47.64,30.69,11.87,186.1,2025-02-27,0.2219
T0000083,P0062,PL03,M00083,148.16,141.33,85.72,32.5,16.98,6.13,135.2,2026-09-27,0.4664
T0000084,P0019,PL04,M00084,1028.64,981.75,540.55,215.34,165.63,60.23,921.52,2026-07-14,1.3692
T0000085,P0061,PL05,M00085,785.05,750.36,458.9,128.64,118.75,44.07,706.29,2026-05-10,0.6354
T0000086,P0013,PL06,M00086,1171.51,1191.47,700.25,286.0,154.35,50.87,1140.6,2026-12-04,1.1601
T0000087,P0036,PL07,M00087,49.03,46.81,28.27,10.08,6.46,2.0,44.81,2025-09-14,0.5201
T0000088,P0034,PL08,M00088,616.82,648.78,366.48,122.71,113.38,46.21,602.57,2025-06-29,0.8548
