Commission_ID,Transaction_ID,Invoice_Line_ID,Sales_Rep_ID,Customer_ID,Product_ID,Commission_Date,Commission_Type,Commission_Rate,Commission_Amount
COM0000001,T0000001,IL0000001,SR001,C00058,P0007,2026-10-17,New Account,0.0131,4.47
COM0000002,T0000002,IL0000002,SR002,C00120,P0130,2025-08-12,Accelerator,0.013,1.26
COM0000003,T0000003,IL0000003,SR003,C00358,P0109,2025-06-13,New Account,0.031,9.54
COM0000004,T0000004,IL0000004,SR004,C00374,P0118,2025-02-14,Standard,0.0178,12.12
COM0000005,T0000005,IL0000005,SR005,C00036,P0012,2026-12-23,New Account,0.0511,76.58
COM0000006,T0000006,IL0000006,SR006,C00108,P0069,2025-12-30,New Account,0.0113,6.43
COM0000007,T0000007,IL0000007,SR007,C00432,P0015,2025-11-29,New Account,0.0492,8.0
COM0000008,T0000008,IL0000008,SR008,C00203,P0118,2026-05-27,Standard,0.0155,4.19
COM0000009,T0000009,IL0000009,SR009,C00261,P0127,2025-05-22,New Account,0.0571,14.5
COM0000010,T0000010,IL0000010,SR010,C00271,P0065,2026-04-25,Standard,0.016,1.0
COM0000011,T0000011,IL0000011,SR011,C00233,P0001,2025-06-11,Accelerator,0.0635,137.58
COM0000012,T0000012,IL0000012,SR012,C00391,P0042,2026-01-18,Standard,0.0341,91.87
COM0000013,T0000013,IL0000013,SR013,C00030,P0062,2025-09-03,Accelerator,0.0197,1.29
COM0000014,T0000014,IL0000014,SR014,C00085,P0068,2026-07-17,Accelerator,0.0113,23.86
COM0000015,T0000015,IL0000015,SR015,C00225,P0133,2026-01-18,Accelerator,0.0562,11.99
COM0000016,T0000016,IL0000016,SR016,C00118,P0018,2025-03-02,New Account,0.0463,11.14
COM0000017,T0000017,IL0000017,SR017,C00125,P0122,2026-04-30,Standard,0.0125,2.01
COM0000018,T0000018,IL0000018,SR018,C00051,P0016,2026-10-24,New Account,0.0464,72.64
COM0000019,T0000019,IL0000019,SR019,C00227,P0141,2025-03-19,Standard,0.0313,6.59
COM0000020,T0000020,IL0000020,SR020,C00110,P0103,2026-05-08,New Account,0.0221,7.94
COM0000021,T0000021,IL0000021,SR021,C00339,P0125,2026-07-24,Accelerator,0.0491,16.83
COM0000022,T0000022,IL0000022,SR022,C00471,P0136,2026-05-30,Accelerator,0.0335,11.36
COM0000023,T0000023,IL0000023,SR023,C00127,P0149,2026-08-07,New Account,0.0323,5.12
COM0000024,T0000024,IL0000024,SR024,C00136,P0102,2025-09-02,Accelerator,0.0392,30.95
COM0000025,T0000025,IL0000025,SR025,C00110,P0130,2026-07-05,New Account,0.0422,27.61
COM0000026,T0000026,IL0000026,SR026,C00414,P0136,2026-09-19,Standard,0.052,52.64
COM0000027,T0000027,IL0000027,SR027,C00145,P0054,2025-10-06,Accelerator,0.0647,51.22
COM0000028,T0000028,IL0000028,SR028,C00023,P0001,2025-10-11,Accelerator,0.0116,5.67
COM0000029,T0000029,IL0000029,SR029,C00463,P0039,2026-12-09,Standard,0.0371,6.99
COM0000030,T0000030,IL0000030,SR030,C00461,P0092,2025-02-10,New Account,0.0362,34.71
COM0000031,T0000031,IL0000031,SR031,C00443,P0042,2025-08-31,Standard,0.0291,5.49
COM0000032,T0000032,IL0000032,SR032,C00082,P0028,2025-10-01,Standard,0.0643,13.3
COM0000033,T0000033,IL0000033,SR033,C00338,P0050,2025-01-25,Standard,0.0463,28.33
COM0000034,T0000034,IL0000034,SR034,C00481,P0008,2025-12-06,Standard,0.0455,14.75
COM0000035,T0000035,IL0000035,SR035,C00262,P0030,2026-09-13,New Account,0.0238,19.2
