Journal_ID,Posting_Date,GL_Account,Account_Type,Cost_Center,Profit_Center,Amount,Currency,Fiscal_Period,Fiscal_Year
JRN0000001,2026-02-08,4000,Revenue,CC0016,PC006,21937.24,USD,2,2026
JRN0000002,2025-11-21,6100,Operating Expense,CC0007,PC007,-13123.87,USD,11,2025
JRN0000003,2025-04-14,4000,Revenue,CC0001,PC001,23782.87,USD,4,2025
JRN0000004,2026-07-13,5000,COGS,CC0007,PC007,-4773.78,USD,7,2026
JRN0000005,2025-05-08,4000,Revenue,CC0014,PC004,29264.91,USD,5,2025
JRN0000006,2026-06-08,5000,COGS,CC0019,PC009,-28709.69,USD,6,2026
JRN0000007,2025-10-29,5000,COGS,CC0007,PC007,-43081.97,USD,10,2025
JRN0000008,2025-05-01,6100,Operating Expense,CC0008,PC008,-10832.43,USD,5,2025
JRN0000009,2025-04-14,4000,Revenue,CC0014,PC004,26627.14,USD,4,2025
JRN0000010,2025-06-12,5000,COGS,CC0007,PC007,-37200.42,USD,6,2025
JRN0000011,2026-11-16,5000,COGS,CC0004,PC004,-2804.43,USD,11,2026
JRN0000012,2026-06-25,6200,Operating Expense,CC0010,PC010,-38367.1,USD,6,2026
JRN0000013,2025-10-25,6100,Operating Expense,CC0012,PC002,-41385.03,USD,10,2025
JRN0000014,2026-01-19,6200,Operating Expense,CC0005,PC005,-48875.21,USD,1,2026
JRN0000015,2025-01-18,4000,Revenue,CC0009,PC009,34673.18,USD,1,2025
JRN0000016,2026-05-19,4000,Revenue,CC0004,PC004,14983.93,USD,5,2026
JRN0000017,2026-01-03,6200,Operating Expense,CC0007,PC007,-7687.98,USD,1,2026
JRN0000018,2025-12-21,4000,Revenue,CC0006,PC006,18292.27,USD,12,2025
JRN0000019,2025-01-20,5000,COGS,CC0009,PC009,-17263.88,USD,1,2025
JRN0000020,2025-02-14,4000,Revenue,CC0007,PC007,14368.25,USD,2,2025
JRN0000021,2025-04-15,6200,Operating Expense,CC0012,PC002,-13315.53,USD,4,2025
JRN0000022,2026-07-06,6200,Operating Expense,CC0020,PC010,-20930.96,USD,7,2026
JRN0000023,2026-03-18,6100,Operating Expense,CC0009,PC009,-22845.18,USD,3,2026
JRN0000024,2026-09-24,4000,Revenue,CC0020,PC010,20382.85,USD,9,2026
JRN0000025,2026-01-18,4000,Revenue,CC0005,PC005,14731.35,USD,1,2026
JRN0000026,2025-08-11,4000,Revenue,CC0020,PC010,31326.68,USD,8,2025
JRN0000027,2025-10-17,5000,COGS,CC0017,PC007,-13039.8,USD,10,2025
JRN0000028,2025-03-16,4000,Revenue,CC0003,PC003,24761.42,USD,3,2025
JRN0000029,2025-05-17,5000,COGS,CC0002,PC002,-20951.23,USD,5,2025
JRN0000030,2025-11-22,6200,Operating Expense,CC0019,PC009,-44184.4,USD,11,2025
JRN0000031,2026-12-14,6200,Operating Expense,CC0008,PC008,-13501.38,USD,12,2026
JRN0000032,2026-09-28,6100,Operating Expense,CC0009,PC009,-45003.36,USD,9,2026
JRN0000033,2025-05-18,6100,Operating Expense,CC0019,PC009,-10440.99,USD,5,2025
JRN0000034,2026-07-03,4000,Revenue,CC0010,PC010,27555.99,USD,7,2026
JRN0000035,2025-12-07,4000,Revenue,CC0009,PC009,33236.85,USD,12,2025
JRN0000036,2026-01-19,4000,Revenue,CC0006,PC006,1702.2,USD,1,2026
JRN0000037,2025-06-12,5000,COGS,CC0003,PC003,-23515.21,USD,6,2025
JRN0000038,2025-11-13,4000,Revenue,CC0016,PC006,15319.21,USD,11,2025
