Expense_ID,GL_Account,Cost_Center,Department,Expense_Date,Expense_Type,Expense_Category,Expense_Amount
EXP0000001,6100,CC0007,Department 7,2025-11-21,Operations,Administrative,18008.85
EXP0000002,6300,CC0019,Department 3,2025-04-15,Operations,Administrative,1244.69
EXP0000003,6400,CC0005,Department 5,2026-09-06,SG&A,Administrative,20859.05
EXP0000004,6200,CC0012,Department 4,2025-04-11,Sales,Sales,11246.88
EXP0000005,6400,CC0002,Department 2,2025-04-07,Marketing,Marketing,6955.23
EXP0000006,6400,CC0004,Department 4,2025-05-29,Operations,Administrative,24841.84
EXP0000007,6300,CC0014,Department 6,2025-09-30,Marketing,Marketing,14990.35
EXP0000008,6400,CC0011,Department 3,2025-11-04,Operations,Administrative,12362.17
EXP0000009,6300,CC0019,Department 3,2025-06-04,Marketing,Marketing,11391.41
EXP0000010,6200,CC0005,Department 5,2025-06-19,SG&A,Administrative,17170.44
EXP0000011,6400,CC0012,Department 4,2026-07-13,SG&A,Administrative,10160.59
EXP0000012,6400,CC0005,Department 5,2026-08-24,Marketing,Marketing,94.69
EXP0000013,6400,CC0012,Department 4,2025-08-19,Operations,Administrative,2699.44
EXP0000014,6200,CC0003,Department 3,2025-04-28,Marketing,Marketing,21023.23
EXP0000015,6300,CC0020,Department 4,2025-06-06,SG&A,Administrative,17243.74
EXP0000016,6200,CC0017,Department 1,2025-02-18,Marketing,Marketing,19052.27
EXP0000017,6300,CC0020,Department 4,2026-06-10,Marketing,Marketing,18698.04
EXP0000018,6300,CC0015,Department 7,2025-09-28,Operations,Administrative,18987.75
EXP0000019,6300,CC0004,Department 4,2026-11-03,Marketing,Marketing,468.98
EXP0000020,6200,CC0008,Department 8,2026-06-29,Sales,Sales,17849.61
EXP0000021,6200,CC0017,Department 1,2026-06-12,Marketing,Marketing,20746.01
EXP0000022,6500,CC0003,Department 3,2025-03-24,Sales,Sales,16404.77
EXP0000023,6200,CC0006,Department 6,2026-05-02,SG&A,Administrative,6434.3
EXP0000024,6500,CC0012,Department 4,2025-06-19,Sales,Sales,20672.39
EXP0000025,6400,CC0008,Department 8,2025-10-24,Sales,Sales,20060.3
EXP0000026,6100,CC0007,Department 7,2025-06-25,SG&A,Administrative,1942.16
EXP0000027,6100,CC0009,Department 1,2026-05-08,SG&A,Administrative,21811.73
EXP0000028,6200,CC0003,Department 3,2026-05-22,Marketing,Marketing,22417.97
EXP0000029,6500,CC0013,Department 5,2025-08-17,SG&A,Administrative,16323.35
EXP0000030,6400,CC0004,Department 4,2026-12-13,SG&A,Administrative,15846.1
EXP0000031,6500,CC0005,Department 5,2025-08-29,Operations,Administrative,9398.18
EXP0000032,6200,CC0014,Department 6,2026-04-18,SG&A,Administrative,5491.19
EXP0000033,6400,CC0002,Department 2,2025-03-19,Operations,Administrative,24306.71
EXP0000034,6100,CC0008,Department 8,2025-02-04,Marketing,Marketing,18882.44
EXP0000035,6200,CC0001,Department 1,2026-03-23,Operations,Administrative,4317.52
EXP0000036,6500,CC0014,Department 6,2026-04-08,Marketing,Marketing,9348.28
EXP0000037,6500,CC0017,Department 1,2026-09-30,Sales,Sales,6171.51
EXP0000038,6300,CC0005,Department 5,2026-06-17,Operations,Administrative,17288.59
EXP0000039,6200,CC0014,Department 6,2025-10-05,SG&A,Administrative,9764.03
EXP0000040,6500,CC0008,Department 8,2025-01-29,Sales,Sales,10341.15
EXP0000041,6200,CC0008,Department 8,2025-06-18,Marketing,Marketing,5559.81
EXP0000042,6200,CC0016,Department 8,2026-04-29,Operations,Administrative,10844.5
EXP0000043,6200,CC0010,Department 2,2026-08-28,Marketing,Marketing,7963.27
EXP0000044,6400,CC0009,Department 1,2026-02-09,SG&A,Administrative,16093.62
EXP0000045,6400,CC0011,Department 3,2026-11-02,Sales,Sales,23235.76
EXP0000046,6500,CC0011,Department 3,2026-07-23,Operations,Administrative,1249.33
EXP0000047,6400,CC0013,Department 5,2026-06-03,Operations,Administrative,18950.02
EXP0000048,6100,CC0020,Department 4,2026-02-03,Sales,Sales,12132.01
EXP0000049,6500,CC0013,Department 5,2026-03-06,Marketing,Marketing,9847.09
EXP0000050,6500,CC0006,Department 6,2025-08-20,Marketing,Marketing,13849.35
EXP0000051,6400,CC0003,Department 3,2025-02-16,SG&A,Administrative,14309.62
EXP0000052,6300,CC0012,Department 4,2026-07-03,SG&A,Administrative,15168.5
EXP0000053,6100,CC0012,Department 4,2026-03-02,Operations,Administrative,5509.49
EXP0000054,6200,CC0014,Department 6,2026-12-20,Marketing,Marketing,17014.15
EXP0000055,6300,CC0001,Department 1,2025-06-07,Sales,Sales,9341.89
EXP0000056,6500,CC0018,Department 2,2025-03-30,Operations,Administrative,7205.42
EXP0000057,6500,CC0013,Department 5,2025-07-17,Marketing,Marketing,8682.23
EXP0000058,6400,CC0009,Department 1,2026-11-08,Operations,Administrative,7789.37
EXP0000059,6200,CC0002,Department 2,2026-10-30,Marketing,Marketing,11698.8
EXP0000060,6500,CC0013,Department 5,2026-11-23,SG&A,Administrative,22967.2
EXP0000061,6300,CC0009,Department 1,2025-07-08,Sales,Sales,15960.75
EXP0000062,6100,CC0013,Department 5,2025-05-10,Sales,Sales,10690.02
EXP0000063,6300,CC0016,Department 8,2025-10-06,Operations,Administrative,13293.95
EXP0000064,6500,CC0020,Department 4,2026-09-28,Sales,Sales,5814.96
EXP0000065,6500,CC0013,Department 5,2025-02-14,Sales,Sales,5112.33
EXP0000066,6100,CC0004,Department 4,2026-06-10,Marketing,Marketing,21024.2
EXP0000067,6500,CC0018,Department 2,2025-05-05,Sales,Sales,22549.99
EXP0000068,6500,CC0002,Department 2,2026-03-10,SG&A,Administrative,10997.29
EXP0000069,6300,CC0019,Department 3,2026-03-13,Marketing,Marketing,16500.39
EXP0000070,6100,CC0009,Department 1,2025-01-24,Operations,Administrative,18393.71
EXP0000071,6300,CC0017,Department 1,2026-07-29,Marketing,Marketing,11790.5
EXP0000072,6200,CC0019,Department 3,2025-05-16,Marketing,Marketing,15365.13
EXP0000073,6100,CC0016,Department 8,2026-06-30,Marketing,Marketing,15685.26
EXP0000074,6400,CC0019,Department 3,2026-09-25,SG&A,Administrative,23530.28
EXP0000075,6500,CC0006,Department 6,2026-11-28,Marketing,Marketing,20416.22
