Transaction_ID,Order_ID,Invoice_ID,Invoice_Line_ID,Transaction_Date,Posting_Date,Customer_ID,Product_ID,Sales_Org,Business_Unit,Region_ID,Currency_Code,Quantity_Sold,Gross_Sales_Amount,Discount_Amount,Net_Sales_Amount,Returns_Amount,Rebate_Amount,Freight_Revenue,Tax_Amount,COGS_Amount
T0000001,O0000001,INV0000001,IL0000001,2026-10-17,2026-10-17,C00058,P0007,SO04,BU1,R01,USD,511,396.54,29.2,341.21,8.05,19.46,1.38,0.71,237.19
T0000002,O0000001,INV0000001,IL0000002,2025-08-12,2025-08-12,C00120,P0130,SO05,BU4,R04,USD,64,107.42,7.69,96.92,2.26,2.48,1.93,5.9,59.93
T0000003,O0000001,INV0000002,IL0000003,2025-06-13,2025-06-13,C00358,P0109,SO01,BU3,R03,USD,579,344.56,32.98,307.67,3.48,1.76,1.33,13.0,247.15
T0000004,O0000002,INV0000002,IL0000004,2025-02-14,2025-02-14,C00374,P0118,SO03,BU2,R03,USD,265,736.22,27.87,680.79,12.19,33.58,18.21,27.51,531.02
T0000005,O0000002,INV0000003,IL0000005,2026-12-23,2026-12-23,C00036,P0012,SO03,BU4,R02,USD,602,1691.92,144.71,1498.55,43.98,35.37,30.69,17.06,1207.27
T0000006,O0000002,INV0000003,IL0000006,2025-12-30,2025-12-30,C00108,P0069,SO03,BU3,R02,USD,360,578.23,14.16,568.86,8.02,8.59,21.4,8.75,388.97
T0000007,O0000003,INV0000004,IL0000007,2025-11-29,2025-11-29,C00432,P0015,SO03,BU4,R04,USD,75,174.71,7.01,162.54,0.35,8.77,3.96,2.42,118.98
T0000008,O0000003,INV0000004,IL0000008,2026-05-27,2026-05-27,C00203,P0118,SO05,BU1,R02,USD,552,305.15,22.73,270.18,4.93,12.54,5.23,6.85,196.33
T0000009,O0000003,INV0000005,IL0000009,2025-05-22,2025-05-22,C00261,P0127,SO03,BU3,R03,USD,106,262.78,4.02,253.94,1.26,9.83,6.27,10.59,154.44
T0000010,O0000004,INV0000005,IL0000010,2026-04-25,2026-04-25,C00271,P0065,SO03,BU2,R04,USD,33,65.88,0.75,62.69,1.75,2.72,2.03,1.29,37.9
T0000011,O0000004,INV0000006,IL0000011,2025-06-11,2025-06-11,C00233,P0001,SO04,BU1,R01,USD,1035,2291.9,116.36,2166.56,7.32,78.82,77.16,30.17,1425.9
T0000012,O0000004,INV0000006,IL0000012,2026-01-18,2026-01-18,C00391,P0042,SO03,BU2,R04,USD,1096,2885.11,172.8,2694.16,42.29,17.75,41.89,152.15,2180.83
T0000013,O0000005,INV0000007,IL0000013,2025-09-03,2025-09-03,C00030,P0062,SO04,BU3,R03,USD,171,69.89,3.4,65.56,0.15,2.92,2.14,2.18,36.06
T0000014,O0000005,INV0000007,IL0000014,2026-07-17,2026-07-17,C00085,P0068,SO02,BU1,R03,USD,876,2413.2,224.17,2111.61,54.68,91.56,68.82,99.28,1427.93
