Customer_ID,Customer_Name,Customer_Type,Customer_Segment,Industry,Sales_Region,Country,State,City,Parent_Customer,Sales_Rep_ID,Payment_Terms_Days,Base_Discount_Pct
C00001,Customer 1,Distributor,Enterprise,Distribution,Midwest,USA,IL,City 1,,SR001,30,0.324
C00002,Customer 2,Food Service,Enterprise,Hospitality,Northeast,USA,PA,City 2,,SR002,45,0.1464
C00003,Customer 3,Retail,Enterprise,Restaurants,South,USA,TX,City 3,,SR003,60,0.06
C00004,Customer 4,Wholesale,Enterprise,Retail,West,USA,WA,City 4,,SR004,30,0.2446
C00005,Customer 5,Distributor,Enterprise,Distribution,Midwest,USA,IL,City 5,,SR005,45,0.3027
C00006,Customer 6,Food Service,Enterprise,Hospitality,Northeast,USA,PA,City 6,,SR006,60,0.1533
C00007,Customer 7,Retail,Enterprise,Restaurants,South,USA,TX,City 7,,SR007,30,0.2304
C00008,Customer 8,Wholesale,Enterprise,Retail,West,USA,WA,City 8,,SR008,45,0.2725
C00009,Customer 9,Distributor,Enterprise,Distribution,Midwest,USA,IL,City 9,,SR009,60,0.3054
C00010,Customer 10,Food Service,Enterprise,Hospitality,Northeast,USA,PA,City 10,,SR010,30,0.1719
C00011,Customer 11,Retail,Enterprise,Restaurants,South,USA,TX,City 11,,SR011,45,0.1922
C00012,Customer 12,Wholesale,Enterprise,Retail,West,USA,WA,City 12,,SR012,60,0.2504
C00013,Customer 13,Distributor,Enterprise,Distribution,Midwest,USA,IL,City 13,,SR013,30,0.2861
C00014,Customer 14,Food Service,Enterprise,Hospitality,Northeast,USA,PA,City 14,,SR014,45,0.1442
C00015,Customer 15,Retail,Enterprise,Restaurants,South,USA,TX,City 15,,SR015,60,0.1893
C00016,Customer 16,Wholesale,Mid-Market,Retail,West,USA,WA,City 16,,SR016,30,0.2695
C00017,Customer 17,Distributor,Mid-Market,Distribution,Midwest,USA,IL,City 17,,SR017,45,0.2967
C00018,Customer 18,Food Service,Mid-Market,Hospitality,Northeast,USA,PA,City 18,,SR018,60,0.1279
C00019,Customer 19,Retail,Mid-Market,Restaurants,South,USA,TX,City 19,,SR019,30,0.1948
C00020,Customer 20,Wholesale,Mid-Market,Retail,West,USA,WA,City 20,,SR020,45,0.2647
C00021,Customer 21,Distributor,Mid-Market,Distribution,Midwest,USA,IL,City 21,,SR021,60,0.3126
C00022,Customer 22,Food Service,Mid-Market,Hospitality,Northeast,USA,PA,City 22,,SR022,30,0.18
C00023,Customer 23,Retail,Mid-Market,Restaurants,South,USA,TX,City 23,,SR023,45,0.2537
C00024,Customer 24,Wholesale,Mid-Market,Retail,West,USA,WA,City 24,,SR024,60,0.2662
C00025,Customer 25,Distributor,Mid-Market,Distribution,Midwest,USA,IL,City 25,,SR001,30,0.2852
C00026,Customer 26,Food Service,Mid-Market,Hospitality,Northeast,USA,PA,City 26,,SR002,45,0.118
C00027,Customer 27,Retail,Mid-Market,Restaurants,South,USA,TX,City 27,,SR003,60,0.214
C00028,Customer 28,Wholesale,Mid-Market,Retail,West,USA,WA,City 28,,SR004,30,0.2478
C00029,Customer 29,Distributor,Mid-Market,Distribution,Midwest,USA,IL,City 29,,SR005,45,0.2938
C00030,Customer 30,Food Service,Mid-Market,Hospitality,Northeast,USA,PA,City 30,,SR006,60,0.1408
C00031,Customer 31,Retail,Mid-Market,Restaurants,South,USA,TX,City 31,,SR007,30,0.2079
C00032,Customer 32,Wholesale,Mid-Market,Retail,West,USA,WA,City 32,,SR008,45,0.276
C00033,Customer 33,Distributor,Mid-Market,Distribution,Midwest,USA,IL,City 33,,SR009,60,0.3024
C00034,Customer 34,Food Service,Mid-Market,Hospitality,Northeast,USA,PA,City 34,,SR010,30,0.1476
C00035,Customer 35,Retail,Mid-Market,Restaurants,South,USA,TX,City 35,,SR011,45,0.1945
C00036,Customer 36,Wholesale,Mid-Market,Retail,West,USA,WA,City 36,,SR012,60,0.2349
C00037,Customer 37,Distributor,Mid-Market,Distribution,Midwest,USA,IL,City 37,,SR013,30,0.2927
C00038,Customer 38,Food Service,Mid-Market,Hospitality,Northeast,USA,PA,City 38,,SR014,45,0.1492
C00039,Customer 39,Retail,Mid-Market,Restaurants,South,USA,TX,City 39,,SR015,60,0.2365
