Date_Key,Date,Day,Week,Month,Quarter,Year,Fiscal_Period,Fiscal_Quarter,Fiscal_Year
20240901,2024-09-01,1,35,9,3,2024,9,3,2024
20240902,2024-09-02,2,36,9,3,2024,9,3,2024
20240903,2024-09-03,3,36,9,3,2024,9,3,2024
20240904,2024-09-04,4,36,9,3,2024,9,3,2024
20240905,2024-09-05,5,36,9,3,2024,9,3,2024
20240906,2024-09-06,6,36,9,3,2024,9,3,2024
20240907,2024-09-07,7,36,9,3,2024,9,3,2024
20240908,2024-09-08,8,36,9,3,2024,9,3,2024
20240909,2024-09-09,9,37,9,3,2024,9,3,2024
20240910,2024-09-10,10,37,9,3,2024,9,3,2024
20240911,2024-09-11,11,37,9,3,2024,9,3,2024
20240912,2024-09-12,12,37,9,3,2024,9,3,2024
20240913,2024-09-13,13,37,9,3,2024,9,3,2024
20240914,2024-09-14,14,37,9,3,2024,9,3,2024
20240915,2024-09-15,15,37,9,3,2024,9,3,2024
20240916,2024-09-16,16,38,9,3,2024,9,3,2024
20240917,2024-09-17,17,38,9,3,2024,9,3,2024
20240918,2024-09-18,18,38,9,3,2024,9,3,2024
20240919,2024-09-19,19,38,9,3,2024,9,3,2024
20240920,2024-09-20,20,38,9,3,2024,9,3,2024
20240921,2024-09-21,21,38,9,3,2024,9,3,2024
20240922,2024-09-22,22,38,9,3,2024,9,3,2024
20240923,2024-09-23,23,39,9,3,2024,9,3,2024
20240924,2024-09-24,24,39,9,3,2024,9,3,2024
20240925,2024-09-25,25,39,9,3,2024,9,3,2024
20240926,2024-09-26,26,39,9,3,2024,9,3,2024
20240927,2024-09-27,27,39,9,3,2024,9,3,2024
20240928,2024-09-28,28,39,9,3,2024,9,3,2024
20240929,2024-09-29,29,39,9,3,2024,9,3,2024
20240930,2024-09-30,30,40,9,3,2024,9,3,2024
20241001,2024-10-01,1,40,10,4,2024,10,4,2024
20241002,2024-10-02,2,40,10,4,2024,10,4,2024
20241003,2024-10-03,3,40,10,4,2024,10,4,2024
20241004,2024-10-04,4,40,10,4,2024,10,4,2024
20241005,2024-10-05,5,40,10,4,2024,10,4,2024
20241006,2024-10-06,6,40,10,4,2024,10,4,2024
20241007,2024-10-07,7,41,10,4,2024,10,4,2024
20241008,2024-10-08,8,41,10,4,2024,10,4,2024
20241009,2024-10-09,9,41,10,4,2024,10,4,2024
20241010,2024-10-10,10,41,10,4,2024,10,4,2024
20241011,2024-10-11,11,41,10,4,2024,10,4,2024
20241012,2024-10-12,12,41,10,4,2024,10,4,2024
20241013,2024-10-13,13,41,10,4,2024,10,4,2024
20241014,2024-10-14,14,42,10,4,2024,10,4,2024
20241015,2024-10-15,15,42,10,4,2024,10,4,2024
20241016,2024-10-16,16,42,10,4,2024,10,4,2024
20241017,2024-10-17,17,42,10,4,2024,10,4,2024
20241018,2024-10-18,18,42,10,4,2024,10,4,2024
20241019,2024-10-19,19,42,10,4,2024,10,4,2024
20241020,2024-10-20,20,42,10,4,2024,10,4,2024
20241021,2024-10-21,21,43,10,4,2024,10,4,2024
20241022,2024-10-22,22,43,10,4,2024,10,4,2024
20241023,2024-10-23,23,43,10,4,2024,10,4,2024
20241024,2024-10-24,24,43,10,4,2024,10,4,2024
20241025,2024-10-25,25,43,10,4,2024,10,4,2024
20241026,2024-10-26,26,43,10,4,2024,10,4,2024
20241027,2024-10-27,27,43,10,4,2024,10,4,2024
20241028,2024-10-28,28,44,10,4,2024,10,4,2024
20241029,2024-10-29,29,44,10,4,2024,10,4,2024
20241030,2024-10-30,30,44,10,4,2024,10,4,2024
20241031,2024-10-31,31,44,10,4,2024,10,4,2024
20241101,2024-11-01,1,44,11,4,2024,11,4,2024
20241102,2024-11-02,2,44,11,4,2024,11,4,2024
20241103,2024-11-03,3,44,11,4,2024,11,4,2024
20241104,2024-11-04,4,45,11,4,2024,11,4,2024
20241105,2024-11-05,5,45,11,4,2024,11,4,2024
20241106,2024-11-06,6,45,11,4,2024,11,4,2024
20241107,2024-11-07,7,45,11,4,2024,11,4,2024
20241108,2024-11-08,8,45,11,4,2024,11,4,2024
20241109,2024-11-09,9,45,11,4,2024,11,4,2024
20241110,2024-11-10,10,45,11,4,2024,11,4,2024
20241111,2024-11-11,11,46,11,4,2024,11,4,2024
20241112,2024-11-12,12,46,11,4,2024,11,4,2024
20241113,2024-11-13,13,46,11,4,2024,11,4,2024
20241114,2024-11-14,14,46,11,4,2024,11,4,2024
20241115,2024-11-15,15,46,11,4,2024,11,4,2024
20241116,2024-11-16,16,46,11,4,2024,11,4,2024
20241117,2024-11-17,17,46,11,4,2024,11,4,2024
20241118,2024-11-18,18,47,11,4,2024,11,4,2024
20241119,2024-11-19,19,47,11,4,2024,11,4,2024
20241120,2024-11-20,20,47,11,4,2024,11,4,2024
20241121,2024-11-21,21,47,11,4,2024,11,4,2024
20241122,2024-11-22,22,47,11,4,2024,11,4,2024
20241123,2024-11-23,23,47,11,4,2024,11,4,2024
20241124,2024-11-24,24,47,11,4,2024,11,4,2024
20241125,2024-11-25,25,48,11,4,2024,11,4,2024
20241126,2024-11-26,26,48,11,4,2024,11,4,2024
20241127,2024-11-27,27,48,11,4,2024,11,4,2024
20241128,2024-11-28,28,48,11,4,2024,11,4,2024
20241129,2024-11-29,29,48,11,4,2024,11,4,2024
20241130,2024-11-30,30,48,11,4,2024,11,4,2024
20241201,2024-12-01,1,48,12,4,2024,12,4,2024
20241202,2024-12-02,2,49,12,4,2024,12,4,2024
20241203,2024-12-03,3,49,12,4,2024,12,4,2024
20241204,2024-12-04,4,49,12,4,2024,12,4,2024
20241205,2024-12-05,5,49,12,4,2024,12,4,2024
20241206,2024-12-06,6,49,12,4,2024,12,4,2024
20241207,2024-12-07,7,49,12,4,2024,12,4,2024
20241208,2024-12-08,8,49,12,4,2024,12,4,2024
20241209,2024-12-09,9,50,12,4,2024,12,4,2024
20241210,2024-12-10,10,50,12,4,2024,12,4,2024
20241211,2024-12-11,11,50,12,4,2024,12,4,2024
20241212,2024-12-12,12,50,12,4,2024,12,4,2024
20241213,2024-12-13,13,50,12,4,2024,12,4,2024
20241214,2024-12-14,14,50,12,4,2024,12,4,2024
20241215,2024-12-15,15,50,12,4,2024,12,4,2024
20241216,2024-12-16,16,51,12,4,2024,12,4,2024
20241217,2024-12-17,17,51,12,4,2024,12,4,2024
20241218,2024-12-18,18,51,12,4,2024,12,4,2024
20241219,2024-12-19,19,51,12,4,2024,12,4,2024
20241220,2024-12-20,20,51,12,4,2024,12,4,2024
20241221,2024-12-21,21,51,12,4,2024,12,4,2024
20241222,2024-12-22,22,51,12,4,2024,12,4,2024
20241223,2024-12-23,23,52,12,4,2024,12,4,2024
20241224,2024-12-24,24,52,12,4,2024,12,4,2024
20241225,2024-12-25,25,52,12,4,2024,12,4,2024
20241226,2024-12-26,26,52,12,4,2024,12,4,2024
20241227,2024-12-27,27,52,12,4,2024,12,4,2024
20241228,2024-12-28,28,52,12,4,2024,12,4,2024
20241229,2024-12-29,29,52,12,4,2024,12,4,2024
20241230,2024-12-30,30,1,12,4,2024,12,4,2024
20241231,2024-12-31,31,1,12,4,2024,12,4,2024
20250101,2025-01-01,1,1,1,1,2025,1,1,2025
20250102,2025-01-02,2,1,1,1,2025,1,1,2025
20250103,2025-01-03,3,1,1,1,2025,1,1,2025
20250104,2025-01-04,4,1,1,1,2025,1,1,2025
20250105,2025-01-05,5,1,1,1,2025,1,1,2025
20250106,2025-01-06,6,2,1,1,2025,1,1,2025
20250107,2025-01-07,7,2,1,1,2025,1,1,2025
20250108,2025-01-08,8,2,1,1,2025,1,1,2025
20250109,2025-01-09,9,2,1,1,2025,1,1,2025
20250110,2025-01-10,10,2,1,1,2025,1,1,2025
20250111,2025-01-11,11,2,1,1,2025,1,1,2025
20250112,2025-01-12,12,2,1,1,2025,1,1,2025
20250113,2025-01-13,13,3,1,1,2025,1,1,2025
20250114,2025-01-14,14,3,1,1,2025,1,1,2025
20250115,2025-01-15,15,3,1,1,2025,1,1,2025
20250116,2025-01-16,16,3,1,1,2025,1,1,2025
20250117,2025-01-17,17,3,1,1,2025,1,1,2025
20250118,2025-01-18,18,3,1,1,2025,1,1,2025
20250119,2025-01-19,19,3,1,1,2025,1,1,2025
20250120,2025-01-20,20,4,1,1,2025,1,1,2025
20250121,2025-01-21,21,4,1,1,2025,1,1,2025
20250122,2025-01-22,22,4,1,1,2025,1,1,2025
20250123,2025-01-23,23,4,1,1,2025,1,1,2025
20250124,2025-01-24,24,4,1,1,2025,1,1,2025
20250125,2025-01-25,25,4,1,1,2025,1,1,2025
20250126,2025-01-26,26,4,1,1,2025,1,1,2025
20250127,2025-01-27,27,5,1,1,2025,1,1,2025
20250128,2025-01-28,28,5,1,1,2025,1,1,2025
20250129,2025-01-29,29,5,1,1,2025,1,1,2025
20250130,2025-01-30,30,5,1,1,2025,1,1,2025
20250131,2025-01-31,31,5,1,1,2025,1,1,2025
20250201,2025-02-01,1,5,2,1,2025,2,1,2025
20250202,2025-02-02,2,5,2,1,2025,2,1,2025
20250203,2025-02-03,3,6,2,1,2025,2,1,2025
20250204,2025-02-04,4,6,2,1,2025,2,1,2025
20250205,2025-02-05,5,6,2,1,2025,2,1,2025
20250206,2025-02-06,6,6,2,1,2025,2,1,2025
20250207,2025-02-07,7,6,2,1,2025,2,1,2025
20250208,2025-02-08,8,6,2,1,2025,2,1,2025
20250209,2025-02-09,9,6,2,1,2025,2,1,2025
20250210,2025-02-10,10,7,2,1,2025,2,1,2025
20250211,2025-02-11,11,7,2,1,2025,2,1,2025
20250212,2025-02-12,12,7,2,1,2025,2,1,2025
20250213,2025-02-13,13,7,2,1,2025,2,1,2025
20250214,2025-02-14,14,7,2,1,2025,2,1,2025
20250215,2025-02-15,15,7,2,1,2025,2,1,2025
20250216,2025-02-16,16,7,2,1,2025,2,1,2025
20250217,2025-02-17,17,8,2,1,2025,2,1,2025
20250218,2025-02-18,18,8,2,1,2025,2,1,2025
20250219,2025-02-19,19,8,2,1,2025,2,1,2025
20250220,2025-02-20,20,8,2,1,2025,2,1,2025
20250221,2025-02-21,21,8,2,1,2025,2,1,2025
20250222,2025-02-22,22,8,2,1,2025,2,1,2025
20250223,2025-02-23,23,8,2,1,2025,2,1,2025
20250224,2025-02-24,24,9,2,1,2025,2,1,2025
20250225,2025-02-25,25,9,2,1,2025,2,1,2025
20250226,2025-02-26,26,9,2,1,2025,2,1,2025
20250227,2025-02-27,27,9,2,1,2025,2,1,2025
20250228,2025-02-28,28,9,2,1,2025,2,1,2025
20250301,2025-03-01,1,9,3,1,2025,3,1,2025
20250302,2025-03-02,2,9,3,1,2025,3,1,2025
20250303,2025-03-03,3,10,3,1,2025,3,1,2025
20250304,2025-03-04,4,10,3,1,2025,3,1,2025
20250305,2025-03-05,5,10,3,1,2025,3,1,2025
20250306,2025-03-06,6,10,3,1,2025,3,1,2025
20250307,2025-03-07,7,10,3,1,2025,3,1,2025
20250308,2025-03-08,8,10,3,1,2025,3,1,2025
20250309,2025-03-09,9,10,3,1,2025,3,1,2025
20250310,2025-03-10,10,11,3,1,2025,3,1,2025
20250311,2025-03-11,11,11,3,1,2025,3,1,2025
20250312,2025-03-12,12,11,3,1,2025,3,1,2025
20250313,2025-03-13,13,11,3,1,2025,3,1,2025
20250314,2025-03-14,14,11,3,1,2025,3,1,2025
20250315,2025-03-15,15,11,3,1,2025,3,1,2025
20250316,2025-03-16,16,11,3,1,2025,3,1,2025
20250317,2025-03-17,17,12,3,1,2025,3,1,2025
20250318,2025-03-18,18,12,3,1,2025,3,1,2025
20250319,2025-03-19,19,12,3,1,2025,3,1,2025
20250320,2025-03-20,20,12,3,1,2025,3,1,2025
20250321,2025-03-21,21,12,3,1,2025,3,1,2025
20250322,2025-03-22,22,12,3,1,2025,3,1,2025
20250323,2025-03-23,23,12,3,1,2025,3,1,2025
20250324,2025-03-24,24,13,3,1,2025,3,1,2025
20250325,2025-03-25,25,13,3,1,2025,3,1,2025
20250326,2025-03-26,26,13,3,1,2025,3,1,2025
20250327,2025-03-27,27,13,3,1,2025,3,1,2025
