Rebate_Program_ID,Customer_ID,Rebate_Type,Rebate_Rate,Status
RP0001,C00001,Volume,0.0483,Active
RP0002,C00002,Volume,0.0502,Active
RP0003,C00003,Volume,0.155,Active
RP0004,C00004,Volume,0.0567,Active
RP0005,C00005,Volume,0.0501,Active
RP0006,C00006,Volume,0.0453,Active
RP0007,C00007,Volume,0.0444,Active
RP0008,C00008,Volume,0.0456,Active
RP0009,C00009,Volume,0.0513,Active
RP0010,C00010,Volume,0.0567,Active
RP0011,C00011,Volume,0.0463,Active
RP0012,C00012,Volume,0.0412,Active
RP0013,C00013,Volume,0.0409,Active
RP0014,C00014,Volume,0.0537,Active
RP0015,C00015,Volume,0.0554,Active
RP0016,C00016,Growth,0.0171,Active
RP0017,C00017,Volume,0.0269,Active
RP0018,C00018,Volume,0.0179,Active
RP0019,C00019,Growth,0.0212,Active
RP0020,C00020,Growth,0.0179,Active
RP0021,C00021,Growth,0.0183,Active
RP0022,C00022,Growth,0.0207,Active
RP0023,C00023,Volume,0.0173,Active
RP0024,C00024,Growth,0.0154,Active
RP0025,C00025,Volume,0.0185,Active
RP0026,C00026,Volume,0.0161,Active
RP0027,C00027,Growth,0.0286,Active
RP0028,C00028,Growth,0.0229,Active
RP0029,C00029,Volume,0.0251,Active
RP0030,C00030,Growth,0.0325,Active
RP0031,C00031,Growth,0.0159,Active
RP0032,C00032,Growth,0.0186,Active
RP0033,C00033,Volume,0.02,Active
RP0034,C00034,Growth,0.0264,Active
RP0035,C00035,Volume,0.016,Active
RP0036,C00036,Growth,0.0225,Active
RP0037,C00037,Growth,0.017,Active
RP0038,C00038,Volume,0.0317,Active
RP0039,C00039,Volume,0.0335,Active
RP0040,C00040,Growth,0.017,Active
RP0041,C00041,Growth,0.0331,Active
RP0042,C00042,Volume,0.0346,Active
RP0043,C00043,Growth,0.0306,Active
RP0044,C00044,Growth,0.0278,Active
RP0045,C00045,Growth,0.0177,Active
RP0046,C00046,Volume,0.0257,Active
RP0047,C00047,Growth,0.0322,Active
RP0048,C00048,Growth,0.0243,Active
RP0049,C00049,Volume,0.0278,Active
RP0050,C00050,Volume,0.0203,Active
RP0051,C00051,Volume,0.0246,Active
RP0052,C00052,Growth,0.0233,Active
RP0053,C00053,Volume,0.0224,Active
RP0054,C00054,Growth,0.0223,Active
RP0055,C00055,None,0.0,Active
RP0056,C00056,None,0.0,Active
RP0057,C00057,None,0.0,Active
RP0058,C00058,None,0.0,Active
RP0059,C00059,None,0.0,Active
RP0060,C00060,None,0.0,Active
RP0061,C00061,None,0.0,Active
RP0062,C00062,None,0.0,Active
RP0063,C00063,None,0.0,Active
RP0064,C00064,None,0.0,Active
RP0065,C00065,None,0.0,Active
RP0066,C00066,None,0.0,Active
RP0067,C00067,None,0.0,Active
RP0068,C00068,None,0.0,Active
RP0069,C00069,None,0.0,Active
RP0070,C00070,None,0.0,Active
RP0071,C00071,None,0.0,Active
RP0072,C00072,None,0.0,Active
RP0073,C00073,None,0.0,Active
RP0074,C00074,None,0.0,Active
RP0075,C00075,None,0.0,Active
RP0076,C00076,None,0.0,Active
RP0077,C00077,None,0.0,Active
RP0078,C00078,None,0.0,Active
RP0079,C00079,None,0.0,Active
RP0080,C00080,None,0.0,Active
RP0081,C00081,None,0.0,Active
RP0082,C00082,None,0.0,Active
RP0083,C00083,None,0.0,Active
RP0084,C00084,None,0.0,Active
RP0085,C00085,None,0.0,Active
RP0086,C00086,None,0.0,Active
RP0087,C00087,None,0.0,Active
RP0088,C00088,None,0.0,Active
RP0089,C00089,None,0.0,Active
RP0090,C00090,None,0.0,Active
RP0091,C00091,None,0.0,Active
RP0092,C00092,None,0.0,Active
RP0093,C00093,None,0.0,Active
RP0094,C00094,None,0.0,Active
RP0095,C00095,None,0.0,Active
RP0096,C00096,None,0.0,Active
RP0097,C00097,None,0.0,Active
RP0098,C00098,None,0.0,Active
RP0099,C00099,None,0.0,Active
RP0100,C00100,None,0.0,Active
RP0101,C00101,None,0.0,Active
RP0102,C00102,None,0.0,Active
RP0103,C00103,None,0.0,Active
RP0104,C00104,None,0.0,Active
RP0105,C00105,None,0.0,Active
RP0106,C00106,None,0.0,Active
RP0107,C00107,None,0.0,Active
RP0108,C00108,None,0.0,Active
RP0109,C00109,None,0.0,Active
RP0110,C00110,None,0.0,Active
RP0111,C00111,None,0.0,Active
RP0112,C00112,None,0.0,Active
RP0113,C00113,None,0.0,Active
RP0114,C00114,None,0.0,Active
RP0115,C00115,None,0.0,Active
RP0116,C00116,None,0.0,Active
RP0117,C00117,None,0.0,Active
RP0118,C00118,None,0.0,Active
RP0119,C00119,None,0.0,Active
RP0120,C00120,None,0.0,Active
