Fiscal_Year,Fiscal_Period,Profit_Center,Cost_Center,Budget_Revenue,Budget_Cost,Budget_Profit,Forecast_Revenue,Forecast_Cost
2024,9,PC001,CC006,331928.71,212434.38,119494.34,337385.67,217679.56
2024,9,PC002,CC002,335867.87,214955.44,120912.43,337189.0,225279.88
2024,9,PC003,CC001,339171.77,217069.94,122101.84,334191.76,217986.58
2024,9,PC004,CC005,325711.03,208455.06,117255.97,340739.22,203486.48
2024,10,PC001,CC008,302003.93,193282.52,108721.42,294708.29,190488.71
2024,10,PC002,CC003,309967.34,198379.1,111588.24,320806.33,193809.13
2024,10,PC003,CC005,302694.81,193724.68,108970.13,308383.44,195034.44
2024,10,PC004,CC006,303866.29,194474.42,109391.86,311973.37,192293.65
2024,11,PC001,CC002,321625.19,205840.12,115785.07,335563.36,203218.51
2024,11,PC002,CC007,323248.55,206879.07,116369.48,329921.0,206060.13
2024,11,PC003,CC007,302298.25,193470.88,108827.37,312265.46,192711.11
2024,11,PC004,CC005,326907.11,209220.55,117686.56,339855.93,216614.29
2024,12,PC001,CC007,323298.9,206911.3,116387.6,337650.06,208875.43
2024,12,PC002,CC008,297440.42,190361.87,107078.55,297823.33,188507.24
2024,12,PC003,CC002,320826.61,205329.03,115497.58,332795.64,206441.81
2024,12,PC004,CC003,319408.22,204421.26,114986.96,324505.64,211551.16
2025,1,PC001,CC006,314344.46,201180.45,113164.0,325022.2,203925.02
2025,1,PC002,CC001,294092.26,188219.05,105873.21,301291.8,196278.47
2025,1,PC003,CC004,310895.92,198973.39,111922.53,321244.31,197651.72
2025,1,PC004,CC006,299006.2,191363.97,107642.23,310866.56,193464.67
2025,2,PC001,CC006,299699.61,191807.75,107891.86,311944.12,187545.24
2025,2,PC002,CC001,322465.35,206377.82,116087.53,337610.91,202246.38
2025,2,PC003,CC004,328451.68,210209.07,118242.6,326770.11,211201.81
2025,2,PC004,CC008,317423.68,203151.15,114272.52,330250.95,208780.87
2025,3,PC001,CC003,352562.5,225640.0,126922.5,364806.01,226393.2
2025,3,PC002,CC001,313787.13,200823.77,112963.37,313051.68,196436.52
2025,3,PC003,CC003,318072.11,203566.15,114505.96,309115.17,204602.36
2025,3,PC004,CC002,318790.29,204025.79,114764.5,321486.19,200582.89
2025,4,PC001,CC003,323715.91,207178.18,116537.73,333836.26,215637.43
2025,4,PC002,CC004,336711.63,215495.45,121216.19,334373.92,216994.65
2025,4,PC003,CC004,324838.35,207896.54,116941.81,327034.06,209333.25
2025,4,PC004,CC008,335251.96,214561.25,120690.7,336461.85,210670.61
2025,5,PC001,CC007,399180.73,255475.67,143705.06,391879.61,249556.23
2025,5,PC002,CC007,378769.59,242412.54,136357.05,396233.04,247900.59
2025,5,PC003,CC007,406907.58,260420.85,146486.73,413211.58,256573.55
2025,5,PC004,CC001,389262.66,249128.1,140134.56,379917.32,250020.44
2025,6,PC001,CC006,354738.64,227032.73,127705.91,355353.89,230441.72
2025,6,PC002,CC004,387790.07,248185.64,139604.42,379951.13,250569.05
2025,6,PC003,CC003,357088.2,228536.45,128551.75,349139.19,235071.53
2025,6,PC004,CC004,382101.9,244545.21,137556.68,375764.64,255214.41
2025,7,PC001,CC005,433644.87,277532.71,156112.15,449873.95,270655.95
2025,7,PC002,CC003,388524.01,248655.37,139868.64,385829.2,247881.8
2025,7,PC003,CC004,425014.18,272009.08,153005.11,444067.81,276975.41
2025,7,PC004,CC008,386034.48,247062.07,138972.41,381603.96,239828.65
2025,8,PC001,CC001,349513.16,223688.42,125824.74,340513.51,221944.85
2025,8,PC002,CC007,344775.83,220656.53,124119.3,348862.02,229249.59
2025,8,PC003,CC008,377053.6,241314.3,135739.3,379629.17,243063.31
2025,8,PC004,CC006,379200.09,242688.06,136512.03,383933.02,237687.15
2025,9,PC001,CC003,316227.21,202385.41,113841.79,315045.09,199206.32
2025,9,PC002,CC004,314369.76,201196.65,113173.11,328880.69,206258.13
2025,9,PC003,CC001,314352.78,201185.78,113167.0,306983.65,204222.98
2025,9,PC004,CC002,284393.66,182011.95,102381.72,292336.43,179692.2
2025,10,PC001,CC003,361243.9,231196.1,130047.8,366314.51,241101.89
2025,10,PC002,CC008,351481.04,224947.86,126533.17,365537.84,226800.76
2025,10,PC003,CC003,341304.86,218435.11,122869.75,342414.39,219622.11
2025,10,PC004,CC008,338099.63,216383.77,121715.87,350148.6,217596.96
2025,11,PC001,CC007,320873.38,205358.96,115514.42,313888.81,207561.53
2025,11,PC002,CC005,332499.32,212799.56,119699.75,336637.06,217698.92
