Transaction_ID,Product_ID,Plant_ID,Material_ID,Production_Date,Units_Produced,Material_KG,Machine_Hours,Material_Cost,Labor_Cost,Scrap_Rate
T0000001,P0016,PLANT-SOUTH,Bagasse,2024-09-10,15206,228.096,0.3621,422.57,10.8,0.031
T0000002,P0064,PLANT-SOUTH,RPET,2024-09-10,33272,931.62,1.7512,3154.37,52.22,0.052
T0000003,P0060,PLANT-SOUTH,PLA Paper,2024-09-10,20971,154.56,0.2185,603.9,6.51,0.017
T0000004,P0002,PLANT-WEST,Molded Fiber,2024-09-10,16297,325.945,0.6268,675.82,24.4,0.048
T0000005,P0067,PLANT-CENTRAL,Molded Fiber,2024-09-24,6386,150.723,0.2456,312.51,7.88,0.048
T0000006,P0036,PLANT-SOUTH,Bagasse,2024-09-24,12869,227.798,0.3064,422.02,9.14,0.031
T0000007,P0064,PLANT-SOUTH,RPET,2024-09-24,14180,397.051,0.7463,1344.37,22.26,0.052
T0000008,P0022,PLANT-WEST,Molded Fiber,2024-09-06,37080,875.109,1.4262,1814.45,55.51,0.048
T0000009,P0004,PLANT-SOUTH,RPET,2024-09-02,19693,551.405,1.0365,1867.0,30.91,0.052
T0000010,P0001,PLANT-EAST,Bagasse,2024-09-02,19773,296.61,0.4708,549.5,16.15,0.031
T0000011,P0018,PLANT-WEST,PLA Paper,2024-09-02,29372,323.094,0.534,1262.39,20.78,0.022
T0000012,P0012,PLANT-SOUTH,Molded Fiber,2024-09-20,8331,223.296,0.3205,462.98,9.56,0.048
T0000013,P0020,PLANT-SOUTH,PLA Paper,2024-09-20,12089,66.492,0.1259,259.8,3.76,0.017
T0000014,P0074,PLANT-WEST,RPET,2024-09-13,18468,692.933,0.972,2346.2,37.83,0.052
T0000015,P0054,PLANT-WEST,RPET,2024-09-13,23821,787.07,1.2538,2664.94,48.8,0.052
T0000016,P0032,PLANT-SOUTH,Molded Fiber,2024-09-13,33930,678.613,1.305,1407.04,38.92,0.048
T0000017,P0049,PLANT-EAST,RPET,2024-09-04,27388,766.869,1.4415,2596.54,49.44,0.052
T0000018,P0017,PLANT-EAST,Molded Fiber,2024-09-04,21658,433.172,0.833,898.14,28.57,0.048
T0000019,P0047,PLANT-CENTRAL,Molded Fiber,2024-09-04,32490,649.811,1.2496,1347.32,40.06,0.048
T0000020,P0075,PLANT-CENTRAL,PLA Paper,2024-09-04,33359,245.857,0.3475,960.61,11.14,0.017
T0000021,P0016,PLANT-SOUTH,Bagasse,2024-09-10,10375,155.635,0.247,288.33,7.37,0.031
T0000022,P0043,PLANT-CENTRAL,PLA Paper,2024-09-10,14930,220.075,0.2715,859.88,8.7,0.022
T0000023,P0035,PLANT-CENTRAL,PLA Paper,2024-09-10,10035,55.196,0.1045,215.66,3.35,0.017
T0000024,P0031,PLANT-CENTRAL,Bagasse,2024-09-11,16318,244.783,0.3885,453.49,12.46,0.031
T0000025,P0040,PLANT-SOUTH,PLA Paper,2024-09-11,15434,100.169,0.1608,391.38,4.79,0.017
T0000026,P0066,PLANT-WEST,Bagasse,2024-09-11,24440,432.6,0.5819,801.43,22.65,0.031
T0000027,P0035,PLANT-CENTRAL,PLA Paper,2024-09-26,13732,75.528,0.143,295.1,4.59,0.017
T0000028,P0010,PLANT-WEST,PLA Paper,2024-09-24,15187,98.565,0.1582,385.11,6.16,0.017
T0000029,P0030,PLANT-WEST,PLA Paper,2024-09-24,8017,59.087,0.0835,230.87,3.25,0.017
T0000030,P0041,PLANT-EAST,Bagasse,2024-09-24,12442,250.099,0.2963,463.33,10.16,0.031
T0000031,P0061,PLANT-EAST,Bagasse,2024-09-19,19160,287.415,0.4562,532.46,15.65,0.031
T0000032,P0067,PLANT-CENTRAL,Molded Fiber,2024-09-15,3316,78.262,0.1275,162.27,4.09,0.048
T0000033,P0043,PLANT-CENTRAL,PLA Paper,2024-09-15,1983,29.239,0.0361,114.24,1.16,0.022
T0000034,P0016,PLANT-SOUTH,Bagasse,2024-09-15,3176,47.647,0.0756,88.27,2.26,0.031
T0000035,P0065,PLANT-EAST,PLA Paper,2024-09-15,2112,11.621,0.022,45.41,0.75,0.017
T0000036,P0016,PLANT-SOUTH,Bagasse,2024-09-18,29277,439.164,0.6971,813.6,20.79,0.031
T0000037,P0020,PLANT-SOUTH,PLA Paper,2024-09-09,33045,181.752,0.3442,710.14,10.26,0.017
T0000038,P0068,PLANT-SOUTH,PLA Paper,2024-09-09,36179,469.616,0.6578,1834.88,19.62,0.022
T0000039,P0027,PLANT-CENTRAL,Molded Fiber,2024-09-21,38950,1043.877,1.4981,2164.37,48.03,0.048
