Sales_Rep_ID,Period,Commission_Rate,Commission_Amount
SR001,2024-09-01,0.0303,13568.83
SR001,2024-10-01,0.0199,8472.21
SR001,2024-11-01,0.0238,9109.97
SR001,2024-12-01,0.0187,8213.45
SR001,2025-01-01,0.0247,10502.87
SR001,2025-02-01,0.0185,6941.66
SR001,2025-03-01,0.0281,11498.63
SR001,2025-04-01,0.0253,14170.73
SR001,2025-05-01,0.032,17264.91
SR001,2025-06-01,0.0318,14425.81
SR001,2025-07-01,0.029,16224.04
SR001,2025-08-01,0.0221,10524.58
SR001,2025-09-01,0.0196,9879.86
SR001,2025-10-01,0.0202,7683.19
SR001,2025-11-01,0.0277,12270.12
SR001,2025-12-01,0.0199,8451.79
SR001,2026-01-01,0.022,8114.8
SR001,2026-02-01,0.0193,8582.64
SR001,2026-03-01,0.0187,8356.9
SR001,2026-04-01,0.0234,8486.88
SR001,2026-05-01,0.0238,11115.56
SR001,2026-06-01,0.0207,9492.69
SR001,2026-07-01,0.0309,17180.28
SR001,2026-08-01,0.0265,7296.03
SR002,2024-09-01,0.0221,4029.66
SR002,2024-10-01,0.0297,5499.51
SR002,2024-11-01,0.0257,3469.23
SR002,2024-12-01,0.0242,4668.0
SR002,2025-01-01,0.0285,3995.19
SR002,2025-02-01,0.0231,3335.06
SR002,2025-03-01,0.0292,4767.16
SR002,2025-04-01,0.0181,3485.87
SR002,2025-05-01,0.0214,3955.81
SR002,2025-06-01,0.0254,6317.73
SR002,2025-07-01,0.0297,6516.24
SR002,2025-08-01,0.0284,5600.4
SR002,2025-09-01,0.0311,3456.62
SR002,2025-10-01,0.0217,3458.62
SR002,2025-11-01,0.0309,7506.7
SR002,2025-12-01,0.0196,3545.83
SR002,2026-01-01,0.0208,3489.66
SR002,2026-02-01,0.0245,4966.52
SR002,2026-03-01,0.021,3129.46
SR002,2026-04-01,0.0184,2309.81
SR002,2026-05-01,0.027,3550.3
SR002,2026-06-01,0.0237,7529.75
SR002,2026-07-01,0.0309,7772.19
SR002,2026-08-01,0.0318,3826.33
SR003,2024-09-01,0.031,2747.12
SR003,2024-10-01,0.0252,473.93
SR003,2024-11-01,0.0223,1385.73
SR003,2024-12-01,0.0314,2106.88
SR003,2025-01-01,0.0232,2189.83
SR003,2025-02-01,0.0233,2481.77
SR003,2025-03-01,0.0269,3568.65
SR003,2025-04-01,0.0269,1031.6
SR003,2025-05-01,0.0195,2190.55
SR003,2025-06-01,0.0207,2142.11
SR003,2025-07-01,0.018,546.98
SR003,2025-08-01,0.0194,3784.28
SR003,2025-09-01,0.0228,1121.08
SR003,2025-10-01,0.0313,3815.51
SR003,2025-11-01,0.0292,1845.11
SR003,2025-12-01,0.0212,2459.61
SR003,2026-01-01,0.0196,1659.54
SR003,2026-02-01,0.032,2919.83
SR003,2026-03-01,0.0281,2543.35
SR003,2026-04-01,0.0253,3188.91
SR003,2026-05-01,0.0317,3103.93
SR003,2026-06-01,0.0314,3419.18
SR003,2026-07-01,0.0196,1774.34
SR003,2026-08-01,0.0269,2163.43
SR004,2024-09-01,0.0277,1984.66
SR004,2024-10-01,0.0301,1449.26
SR004,2024-11-01,0.025,2298.36
SR004,2024-12-01,0.0275,1333.21
SR004,2025-01-01,0.023,1944.77
SR004,2025-02-01,0.0236,1195.86
SR004,2025-03-01,0.0259,1121.26
SR004,2025-04-01,0.021,1844.11
SR004,2025-05-01,0.0291,2017.17
SR004,2025-06-01,0.025,1529.0
SR004,2025-07-01,0.0299,4293.35
SR004,2025-08-01,0.029,1470.87
SR004,2025-09-01,0.0259,524.17
SR004,2025-10-01,0.0276,2736.66
SR004,2025-11-01,0.0299,2663.38
SR004,2025-12-01,0.0227,319.63
SR004,2026-01-01,0.0282,2715.31
SR004,2026-02-01,0.0309,3800.01
SR004,2026-03-01,0.0184,1669.62
SR004,2026-04-01,0.025,1241.05
SR004,2026-05-01,0.02,1399.17
SR004,2026-06-01,0.0234,1737.54
SR004,2026-07-01,0.0296,4767.45
SR004,2026-08-01,0.0208,686.55
SR005,2024-09-01,0.0185,1330.15
SR005,2024-10-01,0.022,611.21
SR005,2024-11-01,0.0289,1227.05
SR005,2024-12-01,0.0195,636.25
SR005,2025-01-01,0.0262,1235.31
SR005,2025-02-01,0.0284,2027.23
SR005,2025-03-01,0.026,1298.86
SR005,2025-04-01,0.0311,2640.36
SR005,2025-05-01,0.0286,2560.88
SR005,2025-06-01,0.0192,1194.95
SR005,2025-07-01,0.03,2773.76
SR005,2025-08-01,0.0257,616.05
SR005,2025-09-01,0.0315,800.09
SR005,2025-10-01,0.0318,1184.34
SR005,2025-11-01,0.0203,1138.86
SR005,2025-12-01,0.0215,1175.37
SR005,2026-01-01,0.0271,814.1
SR005,2026-02-01,0.0188,465.01
SR005,2026-03-01,0.0236,675.57
SR005,2026-04-01,0.0318,2289.21
SR005,2026-05-01,0.0254,1673.05
SR005,2026-06-01,0.0226,1309.59
SR005,2026-07-01,0.0206,774.17
SR005,2026-08-01,0.0285,571.23
SR006,2024-09-01,0.031,615.42
SR006,2024-10-01,0.0309,1035.65
SR006,2024-11-01,0.0189,482.03
SR006,2024-12-01,0.0191,1089.76
SR006,2025-01-01,0.0319,1616.02
SR006,2025-02-01,0.0313,1008.75
SR006,2025-03-01,0.0211,1340.19
SR006,2025-04-01,0.0208,839.44
SR006,2025-05-01,0.0263,1880.63
SR006,2025-06-01,0.0224,363.3
SR006,2025-07-01,0.0281,1044.09
SR006,2025-08-01,0.0209,1017.55
SR006,2025-09-01,0.0293,575.04
SR006,2025-10-01,0.022,668.81
SR006,2025-11-01,0.0199,733.52
SR006,2025-12-01,0.0228,521.93
SR006,2026-01-01,0.0183,801.8
SR006,2026-02-01,0.027,1137.51
SR006,2026-03-01,0.0189,886.54
SR006,2026-04-01,0.0201,1346.6
SR006,2026-05-01,0.0291,2058.72
SR006,2026-06-01,0.0251,1840.41
SR006,2026-07-01,0.0263,1145.88
SR006,2026-08-01,0.0219,300.27
SR007,2024-09-01,0.0316,1185.38
SR007,2024-10-01,0.0318,1087.71
SR007,2024-11-01,0.0231,1396.87
SR007,2024-12-01,0.029,1253.06
SR007,2025-01-01,0.0292,1210.04
SR007,2025-02-01,0.0308,1293.16
SR007,2025-03-01,0.0301,1722.03
SR007,2025-04-01,0.0242,660.47
SR007,2025-05-01,0.0231,1320.24
SR007,2025-06-01,0.0311,983.56
SR007,2025-07-01,0.0237,1586.49
SR007,2025-08-01,0.0253,686.33
SR007,2025-09-01,0.0193,883.6
SR007,2025-10-01,0.0221,1423.85
SR007,2025-11-01,0.0203,223.84
SR007,2025-12-01,0.0192,674.28
SR007,2026-01-01,0.0232,931.34
SR007,2026-02-01,0.0252,988.17
SR007,2026-03-01,0.0289,2467.38
SR007,2026-04-01,0.0265,996.09
SR007,2026-05-01,0.0295,1856.53
SR007,2026-06-01,0.0213,1780.93
SR007,2026-07-01,0.0291,1614.11
SR007,2026-08-01,0.0187,969.41
SR008,2024-09-01,0.0219,186.82
SR008,2024-10-01,0.0242,413.64
SR008,2024-11-01,0.0314,1128.15
SR008,2024-12-01,0.0193,316.55
SR008,2025-01-01,0.0217,529.17
SR008,2025-02-01,0.0201,1087.19
SR008,2025-03-01,0.024,1105.72
SR008,2025-04-01,0.0226,737.53
SR008,2025-05-01,0.0193,353.78
SR008,2025-06-01,0.0247,1570.22
SR008,2025-07-01,0.0248,341.13
SR008,2025-08-01,0.0268,1105.74
SR008,2025-09-01,0.0298,826.92
SR008,2025-10-01,0.0316,759.39
SR008,2025-11-01,0.0195,1313.74
SR008,2025-12-01,0.0227,660.69
SR008,2026-01-01,0.0316,764.55
SR008,2026-02-01,0.0259,1370.31
SR008,2026-03-01,0.0236,496.91
SR008,2026-04-01,0.0241,1836.22
SR008,2026-05-01,0.0298,1510.49
SR008,2026-06-01,0.0301,1455.53
