Order_ID,Customer_ID,Ship_Date,Freight_Cost
O0000001,C00001,2024-09-10,367.19
O0000002,C00045,2024-09-24,161.58
O0000003,C00001,2024-09-06,246.14
O0000004,C00001,2024-09-02,275.4
O0000005,C00016,2024-09-20,69.87
O0000006,C00001,2024-09-13,534.88
O0000007,C00005,2024-09-04,475.47
O0000008,C00048,2024-09-10,96.12
O0000009,C00002,2024-09-11,52.37
O0000010,C00039,2024-09-26,2.94
O0000011,C00019,2024-09-24,25.83
O0000012,C00001,2024-09-19,22.74
O0000013,C00115,2024-09-15,38.67
O0000014,C00001,2024-09-18,32.51
O0000015,C00001,2024-09-09,156.4
O0000016,C00004,2024-09-21,520.18
O0000017,C00011,2024-09-14,429.08
O0000018,C00001,2024-09-12,678.22
O0000019,C00035,2024-09-18,83.88
O0000020,C00026,2024-09-12,229.27
O0000021,C00049,2024-09-21,126.09
O0000022,C00034,2024-09-19,187.14
O0000023,C00063,2024-09-02,51.91
O0000024,C00035,2024-09-12,212.79
O0000025,C00001,2024-09-04,39.25
O0000026,C00041,2024-09-15,152.56
O0000027,C00001,2024-09-07,62.66
O0000028,C00007,2024-09-25,53.02
O0000029,C00001,2024-09-19,204.96
O0000030,C00001,2024-09-02,30.17
O0000031,C00001,2024-09-02,432.55
O0000032,C00003,2024-09-12,297.18
O0000033,C00001,2024-09-24,41.7
O0000034,C00001,2024-09-20,337.69
O0000035,C00086,2024-09-17,44.53
O0000036,C00002,2024-09-24,209.77
O0000037,C00033,2024-09-01,159.34
O0000038,C00001,2024-09-23,444.32
O0000039,C00002,2024-09-01,237.22
O0000040,C00020,2024-09-06,115.57
O0000041,C00005,2024-09-21,350.24
O0000042,C00071,2024-09-19,50.49
O0000043,C00067,2024-09-21,33.33
O0000044,C00005,2024-09-01,401.5
O0000045,C00001,2024-09-06,168.29
O0000046,C00001,2024-09-28,210.25
O0000047,C00010,2024-09-15,178.88
O0000048,C00002,2024-09-04,228.07
O0000049,C00001,2024-09-25,498.13
O0000050,C00004,2024-09-24,153.59
O0000051,C00002,2024-09-22,91.5
O0000052,C00001,2024-09-25,206.35
O0000053,C00012,2024-09-10,403.02
O0000054,C00010,2024-09-24,328.56
O0000055,C00115,2024-09-08,5.22
O0000056,C00086,2024-09-20,2.18
O0000057,C00088,2024-09-10,39.71
O0000058,C00005,2024-09-05,512.97
O0000059,C00040,2024-09-19,190.98
O0000060,C00005,2024-09-26,471.73
O0000061,C00027,2024-09-26,52.98
O0000062,C00046,2024-09-27,163.46
O0000063,C00002,2024-09-08,71.06
O0000064,C00020,2024-09-11,76.92
O0000065,C00001,2024-09-24,447.37
O0000066,C00010,2024-09-18,39.24
O0000067,C00054,2024-09-19,63.72
O0000068,C00045,2024-09-17,3.84
O0000069,C00006,2024-09-11,316.95
O0000070,C00073,2024-09-07,67.9
O0000071,C00012,2024-09-05,166.1
O0000072,C00008,2024-09-05,227.22
O0000073,C00002,2024-09-19,12.62
O0000074,C00001,2024-09-16,403.88
O0000075,C00014,2024-09-02,185.41
O0000076,C00041,2024-09-21,3.52
O0000077,C00001,2024-09-07,32.17
O0000078,C00025,2024-09-06,127.67
O0000079,C00002,2024-09-25,332.9
O0000080,C00010,2024-09-18,396.25
O0000081,C00002,2024-09-22,265.17
O0000082,C00075,2024-09-03,33.66
O0000083,C00001,2024-09-27,407.33
O0000084,C00075,2024-09-01,51.87
O0000085,C00097,2024-09-18,27.93
O0000086,C00011,2024-09-15,184.15
O0000087,C00001,2024-09-11,547.67
O0000088,C00026,2024-09-10,157.86
O0000089,C00002,2024-09-11,172.06
O0000090,C00016,2024-09-03,105.47
O0000091,C00001,2024-09-21,644.65
O0000092,C00105,2024-09-03,51.73
O0000093,C00006,2024-09-25,9.81
O0000094,C00002,2024-09-21,254.87
O0000095,C00001,2024-09-20,203.6
O0000096,C00025,2024-09-28,155.85
O0000097,C00001,2024-09-02,50.4
O0000098,C00007,2024-09-28,208.44
O0000099,C00104,2024-09-28,23.7
O0000100,C00109,2024-09-18,63.83
O0000101,C00001,2024-09-16,184.73
O0000102,C00012,2024-09-19,605.94
O0000103,C00067,2024-09-05,29.67
O0000104,C00002,2024-09-06,708.65
O0000105,C00011,2024-09-07,755.02
O0000106,C00001,2024-09-23,209.33
O0000107,C00011,2024-09-18,272.93
O0000108,C00001,2024-09-11,10.69
O0000109,C00001,2024-09-18,102.25
O0000110,C00013,2024-09-06,415.37
O0000111,C00047,2024-09-11,201.88
O0000112,C00041,2024-09-05,70.1
O0000113,C00090,2024-09-04,6.77
O0000114,C00048,2024-09-11,73.56
O0000115,C00059,2024-09-01,55.03
O0000116,C00015,2024-09-18,260.9
O0000117,C00001,2024-09-06,542.07
O0000118,C00002,2024-09-01,148.73
O0000119,C00001,2024-09-08,200.93
O0000120,C00001,2024-09-05,33.1
O0000121,C00031,2024-09-12,69.08
O0000122,C00001,2024-09-28,401.04
O0000123,C00002,2024-09-14,221.62
O0000124,C00047,2024-09-05,74.87
O0000125,C00001,2024-09-26,510.7
O0000126,C00040,2024-09-18,77.53
O0000127,C00084,2024-09-07,83.89
O0000128,C00114,2024-09-07,20.05
O0000129,C00004,2024-09-12,441.69
O0000130,C00016,2024-09-17,70.23
O0000131,C00067,2024-09-10,1.45
O0000132,C00046,2024-09-23,36.89
O0000133,C00023,2024-09-07,102.6
O0000134,C00053,2024-09-02,158.78
O0000135,C00001,2024-09-04,91.98
O0000136,C00001,2024-09-01,175.79
O0000137,C00073,2024-09-24,8.62
O0000138,C00049,2024-09-22,147.1
O0000139,C00043,2024-09-07,2.06
O0000140,C00002,2024-09-28,315.62
O0000141,C00007,2024-09-18,66.08
O0000142,C00039,2024-09-22,50.2
O0000143,C00011,2024-09-24,9.67
O0000144,C00019,2024-09-28,52.94
O0000145,C00001,2024-09-14,167.72
O0000146,C00024,2024-09-09,85.03
O0000147,C00001,2024-09-07,463.71
O0000148,C00001,2024-09-11,341.94
O0000149,C00015,2024-09-13,52.9
O0000150,C00003,2024-09-12,222.88
O0000151,C00001,2024-09-06,379.26
O0000152,C00051,2024-09-18,106.72
O0000153,C00004,2024-09-16,602.91
O0000154,C00001,2024-09-25,183.88
O0000155,C00056,2024-09-07,42.23
O0000156,C00015,2024-09-23,42.72
O0000157,C00016,2024-09-24,144.0
O0000158,C00004,2024-09-28,33.13
O0000159,C00001,2024-09-07,388.49
O0000160,C00001,2024-09-12,35.9
O0000161,C00099,2024-09-08,20.28
O0000162,C00001,2024-09-16,227.96
O0000163,C00025,2024-09-13,207.2
O0000164,C00047,2024-09-24,192.8
O0000165,C00115,2024-09-08,17.69
O0000166,C00009,2024-09-05,477.91
O0000167,C00065,2024-09-27,3.37
O0000168,C00013,2024-09-26,139.66
O0000169,C00004,2024-09-11,277.82
O0000170,C00003,2024-09-21,20.92
O0000171,C00001,2024-09-14,405.45
O0000172,C00001,2024-09-04,155.25
O0000173,C00002,2024-09-18,150.21
O0000174,C00001,2024-09-09,567.23
O0000175,C00090,2024-09-15,23.1
O0000176,C00019,2024-09-15,204.17
O0000177,C00011,2024-09-02,140.66
O0000178,C00003,2024-09-18,523.97
O0000179,C00054,2024-09-08,76.49
O0000180,C00019,2024-09-06,45.38
O0000181,C00001,2024-09-19,369.2
O0000182,C00003,2024-09-20,560.42
O0000183,C00026,2024-09-06,69.33
O0000184,C00040,2024-09-12,102.02
O0000185,C00003,2024-09-16,712.68
O0000186,C00114,2024-09-23,31.38
O0000187,C00022,2024-09-16,28.47
O0000188,C00001,2024-09-20,9.58
O0000189,C00107,2024-09-25,27.69
O0000190,C00001,2024-09-03,718.48
O0000191,C00007,2024-09-21,206.9
O0000192,C00002,2024-09-08,216.0
O0000193,C00001,2024-09-22,72.49
O0000194,C00001,2024-09-04,42.9
O0000195,C00056,2024-09-17,38.35
O0000196,C00001,2024-09-20,159.24
O0000197,C00066,2024-09-21,18.08
O0000198,C00011,2024-09-25,565.72
O0000199,C00002,2024-09-14,649.67
O0000200,C00001,2024-09-10,512.73
O0000201,C00019,2024-09-22,94.2
O0000202,C00001,2024-09-15,469.57
O0000203,C00013,2024-09-27,52.95
O0000204,C00043,2024-09-24,70.22
O0000205,C00023,2024-09-26,6.17
O0000206,C00018,2024-09-06,135.2
O0000207,C00018,2024-09-28,82.77
O0000208,C00001,2024-09-03,426.76
O0000209,C00056,2024-09-25,42.86
O0000210,C00004,2024-09-10,87.11
O0000211,C00011,2024-09-05,741.11
O0000212,C00012,2024-09-28,296.73
O0000213,C00013,2024-09-14,326.25
O0000214,C00004,2024-09-22,314.92
O0000215,C00101,2024-09-26,69.33
O0000216,C00002,2024-09-27,197.43
O0000217,C00002,2024-09-14,262.52
O0000218,C00005,2024-09-14,285.17
O0000219,C00015,2024-09-03,712.72
O0000220,C00001,2024-09-10,165.9
O0000221,C00005,2024-09-13,220.92
O0000222,C00041,2024-09-14,95.78
O0000223,C00003,2024-09-05,235.11
O0000224,C00066,2024-09-16,40.19
O0000225,C00074,2024-09-07,41.05
O0000226,C00066,2024-09-08,12.58
O0000227,C00053,2024-09-21,113.35
O0000228,C00060,2024-09-20,46.04
O0000229,C00009,2024-09-07,248.14
O0000230,C00054,2024-09-20,98.6
O0000231,C00012,2024-09-24,31.61
O0000232,C00070,2024-09-06,0.42
O0000233,C00031,2024-09-23,234.44
O0000234,C00001,2024-09-09,272.09
O0000235,C00116,2024-09-04,22.11
O0000236,C00039,2024-09-24,192.67
O0000237,C00001,2024-09-01,429.01
O0000238,C00011,2024-09-28,37.21
O0000239,C00072,2024-09-07,50.9
O0000240,C00001,2024-09-17,152.77
O0000241,C00050,2024-09-27,7.81
O0000242,C00025,2024-09-16,112.76
O0000243,C00092,2024-09-04,50.27
O0000244,C00022,2024-09-24,78.26
O0000245,C00001,2024-09-22,369.74
O0000246,C00007,2024-09-04,521.23
O0000247,C00056,2024-09-27,45.54
O0000248,C00044,2024-09-21,18.64
O0000249,C00007,2024-09-13,8.54
O0000250,C00002,2024-09-15,124.23
O0000251,C00090,2024-09-12,13.86
O0000252,C00001,2024-09-26,33.86
O0000253,C00001,2024-09-07,87.63
O0000254,C00014,2024-09-10,159.58
O0000255,C00001,2024-09-01,502.78
O0000256,C00004,2024-09-19,499.39
O0000257,C00001,2024-09-26,125.29
O0000258,C00001,2024-09-05,156.98
O0000259,C00002,2024-09-11,380.83
O0000260,C00050,2024-09-01,250.71
O0000261,C00001,2024-10-05,393.63
O0000262,C00090,2024-10-27,26.73
O0000263,C00001,2024-10-20,127.66
O0000264,C00015,2024-10-25,366.91
O0000265,C00045,2024-10-06,253.92
O0000266,C00097,2024-10-07,15.44
O0000267,C00009,2024-10-10,22.85
O0000268,C00065,2024-10-01,17.35
O0000269,C00004,2024-10-02,350.28
O0000270,C00109,2024-10-05,15.36
O0000271,C00021,2024-10-26,176.54
O0000272,C00037,2024-10-02,99.84
O0000273,C00020,2024-10-27,47.08
O0000274,C00026,2024-10-09,168.5
O0000275,C00002,2024-10-13,420.59
O0000276,C00043,2024-10-09,105.78
O0000277,C00023,2024-10-19,51.6
O0000278,C00001,2024-10-26,393.18
O0000279,C00095,2024-10-13,0.93
O0000280,C00036,2024-10-15,138.8
O0000281,C00001,2024-10-11,183.28
O0000282,C00001,2024-10-22,419.62
O0000283,C00034,2024-10-04,91.52
O0000284,C00001,2024-10-01,7.19
O0000285,C00002,2024-10-03,242.84
O0000286,C00001,2024-10-16,41.07
O0000287,C00025,2024-10-27,118.17
O0000288,C00001,2024-10-24,546.06
O0000289,C00029,2024-10-08,52.8
O0000290,C00001,2024-10-01,26.23
O0000291,C00078,2024-10-27,66.1
O0000292,C00001,2024-10-08,336.43
O0000293,C00001,2024-10-02,684.07
O0000294,C00001,2024-10-24,180.06
O0000295,C00042,2024-10-03,129.2
O0000296,C00091,2024-10-23,28.74
O0000297,C00061,2024-10-02,40.57
O0000298,C00012,2024-10-06,334.64
O0000299,C00045,2024-10-05,111.22
O0000300,C00010,2024-10-16,580.68
O0000301,C00007,2024-10-10,113.57
O0000302,C00011,2024-10-21,226.46
O0000303,C00015,2024-10-26,53.33
O0000304,C00039,2024-10-25,164.65
O0000305,C00001,2024-10-19,364.95
