Expense_ID,GL_Account,Cost_Center,Expense_Function,Expense_Date,Expense_Amount
E000001,6100,CC001,SG&A,2024-09-01,112455.6
E000002,6101,CC002,Sales,2024-09-01,72480.84
E000003,6102,CC003,Marketing,2024-09-01,39879.71
E000004,6103,CC004,Operations,2024-09-01,65568.8
E000005,6100,CC005,SG&A,2024-10-01,107447.46
E000006,6101,CC006,Sales,2024-10-01,73867.79
E000007,6102,CC007,Marketing,2024-10-01,39479.45
E000008,6103,CC008,Operations,2024-10-01,62849.43
E000009,6100,CC001,SG&A,2024-11-01,98351.66
E000010,6101,CC002,Sales,2024-11-01,70317.72
E000011,6102,CC003,Marketing,2024-11-01,38206.47
E000012,6103,CC004,Operations,2024-11-01,58869.77
E000013,6100,CC005,SG&A,2024-12-01,93764.8
E000014,6101,CC006,Sales,2024-12-01,77916.35
E000015,6102,CC007,Marketing,2024-12-01,38217.8
E000016,6103,CC008,Operations,2024-12-01,56046.47
E000017,6100,CC001,SG&A,2025-01-01,97000.04
E000018,6101,CC002,Sales,2025-01-01,70924.26
E000019,6102,CC003,Marketing,2025-01-01,34164.6
E000020,6103,CC004,Operations,2025-01-01,62243.66
E000021,6100,CC005,SG&A,2025-02-01,98597.45
E000022,6101,CC006,Sales,2025-02-01,71654.13
E000023,6102,CC007,Marketing,2025-02-01,41654.52
E000024,6103,CC008,Operations,2025-02-01,60553.33
E000025,6100,CC001,SG&A,2025-03-01,119465.98
E000026,6101,CC002,Sales,2025-03-01,82192.0
E000027,6102,CC003,Marketing,2025-03-01,44288.04
E000028,6103,CC004,Operations,2025-03-01,61592.5
E000029,6100,CC005,SG&A,2025-04-01,117939.62
E000030,6101,CC006,Sales,2025-04-01,79843.94
E000031,6102,CC007,Marketing,2025-04-01,41853.97
E000032,6103,CC008,Operations,2025-04-01,60672.72
E000033,6100,CC001,SG&A,2025-05-01,129825.13
E000034,6101,CC002,Sales,2025-05-01,93965.23
E000035,6102,CC003,Marketing,2025-05-01,42877.72
E000036,6103,CC004,Operations,2025-05-01,67332.69
E000037,6100,CC005,SG&A,2025-06-01,128327.36
E000038,6101,CC006,Sales,2025-06-01,96436.61
E000039,6102,CC007,Marketing,2025-06-01,47708.38
E000040,6103,CC008,Operations,2025-06-01,74709.15
E000041,6100,CC001,SG&A,2025-07-01,138434.83
E000042,6101,CC002,Sales,2025-07-01,98176.38
E000043,6102,CC003,Marketing,2025-07-01,52603.79
E000044,6103,CC004,Operations,2025-07-01,74912.16
E000045,6100,CC005,SG&A,2025-08-01,127063.12
E000046,6101,CC006,Sales,2025-08-01,82961.54
E000047,6102,CC007,Marketing,2025-08-01,45514.98
E000048,6103,CC008,Operations,2025-08-01,73011.17
E000049,6100,CC001,SG&A,2025-09-01,98649.76
E000050,6101,CC002,Sales,2025-09-01,80949.06
E000051,6102,CC003,Marketing,2025-09-01,34159.16
E000052,6103,CC004,Operations,2025-09-01,55120.12
E000053,6100,CC005,SG&A,2025-10-01,122546.86
E000054,6101,CC006,Sales,2025-10-01,91972.74
E000055,6102,CC007,Marketing,2025-10-01,39832.98
E000056,6103,CC008,Operations,2025-10-01,61484.45
E000057,6100,CC001,SG&A,2025-11-01,114964.5
E000058,6101,CC002,Sales,2025-11-01,81831.05
E000059,6102,CC003,Marketing,2025-11-01,42641.57
E000060,6103,CC004,Operations,2025-11-01,69855.2
E000061,6100,CC005,SG&A,2025-12-01,104013.15
E000062,6101,CC006,Sales,2025-12-01,71455.18
E000063,6102,CC007,Marketing,2025-12-01,40961.07
E000064,6103,CC008,Operations,2025-12-01,62097.02
E000065,6100,CC001,SG&A,2026-01-01,99676.38
E000066,6101,CC002,Sales,2026-01-01,76598.62
E000067,6102,CC003,Marketing,2026-01-01,38776.05
E000068,6103,CC004,Operations,2026-01-01,52121.71
E000069,6100,CC005,SG&A,2026-02-01,119057.4
E000070,6101,CC006,Sales,2026-02-01,82099.25
E000071,6102,CC007,Marketing,2026-02-01,43738.42
E000072,6103,CC008,Operations,2026-02-01,63899.39
E000073,6100,CC001,SG&A,2026-03-01,117742.08
E000074,6101,CC002,Sales,2026-03-01,84897.21
E000075,6102,CC003,Marketing,2026-03-01,38416.23
E000076,6103,CC004,Operations,2026-03-01,63395.75
E000077,6100,CC005,SG&A,2026-04-01,110221.11
E000078,6101,CC006,Sales,2026-04-01,79873.57
E000079,6102,CC007,Marketing,2026-04-01,36563.44
E000080,6103,CC008,Operations,2026-04-01,55556.74
E000081,6100,CC001,SG&A,2026-05-01,114301.03
E000082,6101,CC002,Sales,2026-05-01,86048.39
E000083,6102,CC003,Marketing,2026-05-01,43494.69
E000084,6103,CC004,Operations,2026-05-01,66884.95
E000085,6100,CC005,SG&A,2026-06-01,122087.62
E000086,6101,CC006,Sales,2026-06-01,101927.77
E000087,6102,CC007,Marketing,2026-06-01,50029.86
E000088,6103,CC008,Operations,2026-06-01,79593.61
E000089,6100,CC001,SG&A,2026-07-01,149622.11
E000090,6101,CC002,Sales,2026-07-01,108103.81
E000091,6102,CC003,Marketing,2026-07-01,52349.16
E000092,6103,CC004,Operations,2026-07-01,77537.88
E000093,6100,CC005,SG&A,2026-08-01,79086.03
E000094,6101,CC006,Sales,2026-08-01,53331.98
E000095,6102,CC007,Marketing,2026-08-01,30454.37
E000096,6103,CC008,Operations,2026-08-01,44638.52
