Month,Plant_ID,Overhead_Pool_USD
2024-09-01,PLANT-CENTRAL,33663.88
2024-10-01,PLANT-CENTRAL,32475.09
2024-11-01,PLANT-CENTRAL,27970.36
2024-12-01,PLANT-CENTRAL,33401.0
2025-01-01,PLANT-CENTRAL,32545.13
2025-02-01,PLANT-CENTRAL,29315.33
2025-03-01,PLANT-CENTRAL,32862.84
2025-04-01,PLANT-CENTRAL,32174.69
2025-05-01,PLANT-CENTRAL,30381.83
2025-06-01,PLANT-CENTRAL,34675.8
2025-07-01,PLANT-CENTRAL,32627.42
2025-08-01,PLANT-CENTRAL,31445.43
2025-09-01,PLANT-CENTRAL,31062.39
2025-10-01,PLANT-CENTRAL,31819.44
2025-11-01,PLANT-CENTRAL,31861.19
2025-12-01,PLANT-CENTRAL,32801.72
2026-01-01,PLANT-CENTRAL,31757.44
2026-02-01,PLANT-CENTRAL,31534.32
2026-03-01,PLANT-CENTRAL,32266.03
2026-04-01,PLANT-CENTRAL,31504.48
2026-05-01,PLANT-CENTRAL,31914.71
2026-06-01,PLANT-CENTRAL,33831.46
2026-07-01,PLANT-CENTRAL,31443.58
2026-08-01,PLANT-CENTRAL,31838.31
2024-09-01,PLANT-EAST,39747.71
2024-10-01,PLANT-EAST,42812.5
2024-11-01,PLANT-EAST,38229.14
2024-12-01,PLANT-EAST,39637.94
2025-01-01,PLANT-EAST,42170.62
2025-02-01,PLANT-EAST,40753.36
2025-03-01,PLANT-EAST,42447.8
2025-04-01,PLANT-EAST,40683.25
2025-05-01,PLANT-EAST,39897.71
2025-06-01,PLANT-EAST,40799.4
2025-07-01,PLANT-EAST,38881.65
2025-08-01,PLANT-EAST,39645.76
2025-09-01,PLANT-EAST,42496.58
2025-10-01,PLANT-EAST,40575.62
2025-11-01,PLANT-EAST,40950.42
2025-12-01,PLANT-EAST,41204.37
2026-01-01,PLANT-EAST,38427.78
2026-02-01,PLANT-EAST,38443.68
2026-03-01,PLANT-EAST,41625.81
2026-04-01,PLANT-EAST,40326.94
2026-05-01,PLANT-EAST,40638.95
2026-06-01,PLANT-EAST,42009.07
2026-07-01,PLANT-EAST,39467.18
2026-08-01,PLANT-EAST,40070.51
2024-09-01,PLANT-SOUTH,26619.18
2024-10-01,PLANT-SOUTH,27363.52
2024-11-01,PLANT-SOUTH,26611.79
2024-12-01,PLANT-SOUTH,26316.53
2025-01-01,PLANT-SOUTH,28829.05
2025-02-01,PLANT-SOUTH,27043.14
2025-03-01,PLANT-SOUTH,27707.13
2025-04-01,PLANT-SOUTH,25045.93
2025-05-01,PLANT-SOUTH,25608.82
2025-06-01,PLANT-SOUTH,27632.56
2025-07-01,PLANT-SOUTH,26739.8
2025-08-01,PLANT-SOUTH,26582.77
2025-09-01,PLANT-SOUTH,25973.53
2025-10-01,PLANT-SOUTH,28052.22
2025-11-01,PLANT-SOUTH,27706.76
2025-12-01,PLANT-SOUTH,26929.58
2026-01-01,PLANT-SOUTH,27265.49
2026-02-01,PLANT-SOUTH,26670.64
2026-03-01,PLANT-SOUTH,26261.43
2026-04-01,PLANT-SOUTH,26439.7
2026-05-01,PLANT-SOUTH,27825.57
2026-06-01,PLANT-SOUTH,26573.83
2026-07-01,PLANT-SOUTH,27062.0
2026-08-01,PLANT-SOUTH,26536.1
2024-09-01,PLANT-WEST,53954.53
2024-10-01,PLANT-WEST,50647.68
2024-11-01,PLANT-WEST,55176.35
2024-12-01,PLANT-WEST,50807.23
2025-01-01,PLANT-WEST,50809.64
2025-02-01,PLANT-WEST,56167.09
2025-03-01,PLANT-WEST,49781.6
2025-04-01,PLANT-WEST,51922.27
2025-05-01,PLANT-WEST,54104.28
2025-06-01,PLANT-WEST,48789.6
2025-07-01,PLANT-WEST,52537.05
2025-08-01,PLANT-WEST,48798.83
2025-09-01,PLANT-WEST,52076.2
2025-10-01,PLANT-WEST,56234.7
2025-11-01,PLANT-WEST,47109.64
2025-12-01,PLANT-WEST,51842.89
2026-01-01,PLANT-WEST,51054.0
2026-02-01,PLANT-WEST,49904.83
2026-03-01,PLANT-WEST,48817.64
2026-04-01,PLANT-WEST,54285.93
2026-05-01,PLANT-WEST,52411.32
2026-06-01,PLANT-WEST,48133.55
2026-07-01,PLANT-WEST,50041.68
2026-08-01,PLANT-WEST,50858.46
