Transaction_ID,Order_ID,Invoice_ID,Invoice_Line_ID,Transaction_Date,Posting_Date,Customer_ID,Product_ID,Sales_Rep_ID,Region_ID,Business_Unit,Quantity_Sold,Gross_Sales_Amount,Discount_Amount,Returns_Amount,Net_Sales_Amount
T0000001,O0000001,INV0000001,IL0000001,2024-09-10,2024-09-10,C00001,P0016,SR001,Midwest,Private Label,14735.0,1532.44,496.51,6.76,1029.17
T0000002,O0000001,INV0000001,IL0000002,2024-09-10,2024-09-10,C00001,P0064,SR001,Midwest,Private Label,31542.0,7664.71,2483.36,0.0,5181.34
T0000003,O0000001,INV0000001,IL0000003,2024-09-10,2024-09-10,C00001,P0060,SR001,Midwest,Private Label,20615.0,1216.28,394.08,0.0,822.21
T0000004,O0000001,INV0000001,IL0000004,2024-09-10,2024-09-10,C00001,P0002,SR001,Midwest,Retail Packaging,15515.0,1877.32,608.25,0.0,1269.06
T0000005,O0000002,INV0000002,IL0000005,2024-09-24,2024-09-24,C00045,P0067,SR021,Midwest,Industrial,6080.0,868.22,251.0,0.0,617.22
T0000006,O0000002,INV0000002,IL0000006,2024-09-24,2024-09-24,C00045,P0036,SR021,Midwest,Private Label,12471.0,1530.19,442.38,0.0,1087.81
T0000007,O0000002,INV0000002,IL0000007,2024-09-24,2024-09-24,C00045,P0064,SR021,Midwest,Private Label,13443.0,3266.65,944.39,0.0,2322.26
T0000008,O0000003,INV0000003,IL0000008,2024-09-06,2024-09-06,C00001,P0022,SR001,Midwest,Retail Packaging,35301.0,5040.98,1633.28,0.0,3407.7
T0000009,O0000004,INV0000004,IL0000009,2024-09-02,2024-09-02,C00001,P0004,SR001,Midwest,Private Label,18669.0,4536.57,1469.85,0.0,3066.72
T0000010,O0000004,INV0000004,IL0000010,2024-09-02,2024-09-02,C00001,P0001,SR001,Midwest,Foodservice Packaging,19161.0,1992.74,645.65,0.0,1347.09
T0000011,O0000004,INV0000004,IL0000011,2024-09-02,2024-09-02,C00001,P0018,SR001,Midwest,Retail Packaging,28726.0,3102.41,1005.18,0.0,2097.23
T0000012,O0000005,INV0000005,IL0000012,2024-09-20,2024-09-20,C00016,P0012,SR016,West,Private Label,7932.0,1285.78,346.52,0.0,939.26
T0000013,O0000005,INV0000005,IL0000013,2024-09-20,2024-09-20,C00016,P0020,SR016,West,Private Label,11884.0,522.9,140.92,0.0,381.98
T0000014,O0000006,INV0000006,IL0000014,2024-09-13,2024-09-13,C00001,P0074,SR001,Midwest,Retail Packaging,17508.0,5700.6,1847.0,0.0,3853.61
T0000015,O0000006,INV0000006,IL0000015,2024-09-13,2024-09-13,C00001,P0054,SR001,Midwest,Retail Packaging,22583.0,6474.55,2097.75,0.0,4376.79
T0000016,O0000006,INV0000006,IL0000016,2024-09-13,2024-09-13,C00001,P0032,SR001,Midwest,Private Label,32302.0,3908.54,1266.37,0.0,2642.17
T0000017,O0000007,INV0000007,IL0000017,2024-09-04,2024-09-04,C00005,P0049,SR005,Midwest,Foodservice Packaging,25964.0,6309.25,1909.81,0.0,4399.44
T0000018,O0000007,INV0000007,IL0000018,2024-09-04,2024-09-04,C00005,P0017,SR005,Midwest,Foodservice Packaging,20619.0,2494.9,755.21,0.0,1739.69
