Month,Material,Cost_Per_Kg
2024-09-01,Bagasse,1.8526
2024-10-01,Bagasse,1.8368
2024-11-01,Bagasse,1.8343
2024-12-01,Bagasse,1.8618
2025-01-01,Bagasse,1.8764
2025-02-01,Bagasse,1.9126
2025-03-01,Bagasse,1.939
2025-04-01,Bagasse,1.9514
2025-05-01,Bagasse,1.9893
2025-06-01,Bagasse,2.002
2025-07-01,Bagasse,2.0226
2025-08-01,Bagasse,2.0206
2025-09-01,Bagasse,2.026
2025-10-01,Bagasse,2.016
2025-11-01,Bagasse,2.0399
2025-12-01,Bagasse,2.02
2026-01-01,Bagasse,2.0398
2026-02-01,Bagasse,2.04
2026-03-01,Bagasse,2.068
2026-04-01,Bagasse,2.0877
2026-05-01,Bagasse,2.1298
2026-06-01,Bagasse,2.1497
2026-07-01,Bagasse,2.1202
2026-08-01,Bagasse,2.123
2024-09-01,Molded Fiber,2.0734
2024-10-01,Molded Fiber,2.0641
2024-11-01,Molded Fiber,2.1073
2024-12-01,Molded Fiber,2.1283
2025-01-01,Molded Fiber,2.1139
2025-02-01,Molded Fiber,2.0914
2025-03-01,Molded Fiber,2.0964
2025-04-01,Molded Fiber,2.0687
2025-05-01,Molded Fiber,2.0555
2025-06-01,Molded Fiber,2.0676
2025-07-01,Molded Fiber,2.1016
2025-08-01,Molded Fiber,2.1218
2025-09-01,Molded Fiber,2.0653
2025-10-01,Molded Fiber,2.0773
2025-11-01,Molded Fiber,2.0833
2025-12-01,Molded Fiber,2.0983
2026-01-01,Molded Fiber,2.1449
2026-02-01,Molded Fiber,2.0938
2026-03-01,Molded Fiber,2.0825
2026-04-01,Molded Fiber,2.1021
2026-05-01,Molded Fiber,2.0647
2026-06-01,Molded Fiber,2.107
2026-07-01,Molded Fiber,2.1209
2026-08-01,Molded Fiber,2.1476
2024-09-01,PLA Paper,3.9072
2024-10-01,PLA Paper,3.9865
2024-11-01,PLA Paper,4.0903
2024-12-01,PLA Paper,4.1199
2025-01-01,PLA Paper,4.1499
2025-02-01,PLA Paper,4.1834
2025-03-01,PLA Paper,4.1105
2025-04-01,PLA Paper,4.1051
2025-05-01,PLA Paper,4.0992
2025-06-01,PLA Paper,4.1428
2025-07-01,PLA Paper,4.2443
2025-08-01,PLA Paper,4.1517
2025-09-01,PLA Paper,4.6046
2025-10-01,PLA Paper,4.7673
2025-11-01,PLA Paper,4.6971
2025-12-01,PLA Paper,4.6196
2026-01-01,PLA Paper,4.6499
2026-02-01,PLA Paper,4.7475
2026-03-01,PLA Paper,4.7582
2026-04-01,PLA Paper,4.91
2026-05-01,PLA Paper,5.0145
2026-06-01,PLA Paper,5.1195
2026-07-01,PLA Paper,5.1936
2026-08-01,PLA Paper,5.4759
2024-09-01,RPET,3.3859
2024-10-01,RPET,3.1891
2024-11-01,RPET,3.349
2024-12-01,RPET,3.3097
2025-01-01,RPET,3.327
2025-02-01,RPET,3.4644
2025-03-01,RPET,3.3048
2025-04-01,RPET,3.1873
2025-05-01,RPET,3.0406
2025-06-01,RPET,2.9742
2025-07-01,RPET,3.0194
2025-08-01,RPET,3.0729
2025-09-01,RPET,4.1601
2025-10-01,RPET,3.9921
2025-11-01,RPET,3.7234
2025-12-01,RPET,3.7369
2026-01-01,RPET,3.6915
2026-02-01,RPET,3.7498
2026-03-01,RPET,3.8362
2026-04-01,RPET,3.8598
2026-05-01,RPET,3.9556
2026-06-01,RPET,3.9907
2026-07-01,RPET,4.0621
2026-08-01,RPET,3.9844
